;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
129;aiguiser;;EgizE;;;;;;;;;;;;;;;EgizE;EgizE;Egize;;;;;;;;;Egiz;;;;;;;;;Egiz;;;;Egiz;;;;;;;
130;aimanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emât;;;;Emât;;;;;;;
131;aimer;;EmE;;;EmEr;Ema;Em6rô;Em6rE;Em6re;Em6ra;Em6rô;Em6ra;Emjô;EmE;Emje;EmE;EmE;EmE;Eme;Emasjô;;;;;Ema;Emô;Eme;Em;Emâ;Em6rjô;Em6rE;Em6rje;Em6rE;Em6rE;Em6rE;Emô;Em;Eme;Em;Em;Em;;Emjô;Em;Emje;Em;Em;Em
132;ajourner;;;;;;;;;;;;;;;;;;;aZurne;;;;;;;;;;;;;;;;;;aZurn;;;;;;;;;;;
133;ajouter;;aZutE;;;aZutEr;aZuta;aZut6rô;aZut6rE;aZut6re;;aZut6rô;;;aZutE;aZutje;aZutE;aZutE;aZutE;aZute;;;;;;;aZutô;aZute;aZut;aZutâ;;aZut6rE;;;;;aZutô;aZut;aZute;aZut;aZut;aZut;;;;;;;aZut
134;ajuster;;;;;;aZysta;;;;;;;;;;;;;aZyste;;;;;;;;aZyste;aZyst;aZystâ;;;;;;;aZystô;aZyst;;;;aZyst;;;;;;;
135;alanguir;;;;;;alâgi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alâgi;;;;;;;
136;alarmer;;;;;;alarma;;;;;;;;;;;;alarmE;alarme;;;;;;;;;;;;;;;;;;;alarme;;;;;;;;;;
137;alerter;;;;;alErtEr;alErta;;;;;;;;;;;;alErtE;alErte;;;;;;;;alErte;alErt;alErtâ;;;;;;alErt6rE;;alErt;;;alErt;alErt;;;;;;;alErt
138;aligner;;;;;aliJEr;aliJa;;;;;aliJ6rô;;;;;;aliJE;aliJE;aliJe;;;;;;;;;aliJ;;;;;;;;;aliJ;aliJe;;aliJ;aliJ;;;;;;;
139;alimenter;;;;;;alimâta;;;;;;;;;;;alimâtE;alimâtE;alimâte;;;;;;;;;alimât;;;;;;;;;alimât;;;alimât;alimât;;;;;;;
140;allaiter;;;;;;;;;;;;;;;;;;;;;;;;;;;;alEt;;;;;;;;;alEt;;;;alEt;;;;;;;
141;aller;alam;alE;;;alEr;ala;irô;irE;ire;ira;irô;ira;aljô;alE;alje;alE;alE;alE;ale;;;;;alas;ala;alô;ale;va;alâ;irjô;irE;irje;irE;irE;irE;alô;vE;ale;va;vô;va;;;aj;;aj;aj;aj
142;allier;;;;;;alja;;;;;;;;;;;;aljE;alje;;;;;;;;;ali;aljâ;;;;;;;;ali;;;ali;ali;;;;;;;
143;allonger;;alôZE;;;alôZEr;alôZa;;;;;;;;;;alôZE;alôZE;alôZE;alôZe;;;;;;;;alôZe;alôZ;alôZâ;;alôZ6rE;;;;alôZ6rE;;alôZ;alôZe;;alôZ;alôZ;;;alôZ;;;;
144;allouer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aluâ;;;;;;;;;;;;;;;;;;;
145;allumer;;alymE;;;alymEr;alyma;;;;;alym6rô;alym6ra;;alymE;;alymE;alymE;alymE;alyme;;;;;;;alymô;alyme;alym;alymâ;;;;;;alym6rE;alymô;alym;alyme;alym;alym;alym;;;;;alym;;
146;alléger;;;;;;alEZa;;;;;;;;;;;;;alEZe;;;;;;;;;alEZ;alEZâ;;;;;;;;alEZ;alEZe;;;alEZ;;;;;;;
147;alléguer;;;;;;;;;;;;;;;;;alEgE;alEgE;alEge;;;;;;;;;;alEgâ;;;;;;;;alEg;;;;;;;;;;;
148;alourdir;;;;;;;;;;;;;;;;;alurdisE;alurdisE;alurdir;;;;;;alurdi;;;alurdi;;;;;;;;;alurdi;;;;alurdi;;;;;;;
149;alpaguer;;;;;;;;;;;;;;;;;;;alpage;;;;;;;;;;;;;;;;;;alpag;;;alpag;;;;;;;;
150;alterner;;;;;;;;;;;;;;;;;altErnE;;altErne;;;;;;;;;;altErnâ;;;;;;;;altErn;;;altErn;altErn;;;;;;;
151;altérer;;;;;;;;;;;;;;;;;altErE;;altEre;;;;;;;;;altEr;altErâ;;;;;;;;altEr;;;altEr;altEr;;;;;;;
152;alunir;;;;;;;;;;;;;;;;;;;alynir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;aléser;;;;;;;;;;;;;;;;;;;alEze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;amadouer;;;;;;amadua;;;;;;;;;;;;amaduE;amadue;;;;;;;;;amadu;;;;;;;;;amadu;;;;;;;;;;;
155;amalgamer;;;;;;;;;;;;;;;;;amalgamE;;;;;;;;;;;;amalgamâ;;;;;;;;;amalgame;;;;;;;;;;
156;amarrer;;amarE;;;;;;;;;;;;;;;amarE;;amare;;;;;;;;;amar;;;;;;;;;;;;;;;;;;;;
157;amasser;;;;;;;;;;;;;;;;;amasE;amasE;amase;;;;;;;;;amas;amasâ;;;;;;;;amas;amase;;amas;amas;;;;;;;
158;ambitionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âbisjOne;;;;;;;;;;
159;amener;;am6nE;;;am6nEr;am6na;amEn6rô;amEn6rE;;;amEn6rô;amEn6ra;am6njô;am6nE;;am6nE;am6nE;am6nE;am6ne;;;;;;;am6nô;am6ne;amEn;am6nâ;;amEn6rE;;amEn6rE;;amEn6rE;am6nô;amEn;am6ne;amEn;amEn;amEn;;;amEn;;amEn;amEn;amEn
160;amenuiser;;;;;am6nHizEr;;;;;;;;;;;;;am6nHizE;;;;;;;;;;;am6nHizâ;;;;;;;;;;;am6nHiz;;;;;;;;
161;ameuter;;;;;;am6ta;;;;;;;;;;;;;am6te;;;;;;;;;am2t;;;;;;;;;am2t;;;;am2t;;;;;;;
162;amincir;;;;;;;;;;;;;;;;;amêsisE;;amêsir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;amocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amOS;;;;amOS;;;;;;;
164;amoindrir;;;;;;amwêdri;;;;;;;;;;;;amwêdrisE;amwêdrir;;;;;;;;;;;;;;;;;;;;;;amwêdri;;;;;;;
165;amollir;;;;;;amOli;;;;;;;;;;;amOlisE;amOlisE;;;;;;;;;;;;;;;;;;;;;amOli;;;;;;;;;
166;amonceler;;;;;;;;;;;;;;;;;amôs6lE;amôs6lE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;amorcer;;;;;amOrsEr;amOrsa;;;;;;;;;;;amOrsE;amOrsE;amOrse;;;;;;;;amOrse;amOrs;;;;;;;;;amOrs;;;;amOrs;;;;;;;
168;amortir;;;;;;amOrti;;;;;;;;;;;;;amOrtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;amouracher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amuraS;;;;;;;
170;amplifier;;;;;âplifjEr;;;;;;;;;;;;;âplifjE;âplifje;;;;;;;;;âplifi;âplifjâ;;;;;;;;âplifi;;;âplifi;âplifi;;;;;;;
171;amputer;;;;;;;;;;;;;;;;;;;âpyte;;;;;;;;;;;;;;;;;;âpyt;;;;âpyt;;;;;;;
172;amuser;amyzam;amyzE;;;amyzEr;amyza;amyz6rô;amyz6rE;;amyz6ra;;amyz6ra;amyzjô;amyzE;amyzje;amyzE;amyzE;amyzE;amyze;;;;;;;amyzô;amyze;amyz;amyzâ;;;;amyz6rE;amyz6rE;amyz6rE;amyzô;amyz;amyze;amyz;amyz;amyz;;;amyz;;amyz;;amyz
173;améliorer;;;;;;amEljOra;;;;;;;;;;;amEljOrE;amEljOrE;amEljOre;;;;;;;amEljOrô;amEljOre;amEljOr;amEljOrâ;;;;;;;;amEljOr;;amEljOr;amEljOr;amEljOr;;;;;;;
174;aménager;;amEnaZE;;;;amEnaZa;;;;;;;;;;;;;amEnaZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;analyser;;;;;;analiza;;;;;;;analizjô;;;;analizE;;analize;;;;;;;analizô;analize;analiz;analizâ;;;;;;;analizô;analiz;;;analiz;analiz;;;;;analiz;;
176;ancrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;âkr;;;;;;;;;âkr;;;;âkr;;;;;;;
177;anesthésier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;anEstEzjâ;;;;;;;;;;;anEstEzi;;;;;;;;
178;angoisser;;;;;;;;;;;;;;;;;;âgwasE;âgwase;;;;;;;;;âgwas;âgwasâ;;;;;;;;âgwas;;;;âgwas;;;;;;;
179;animer;;animE;;;animEr;anima;;;;;;;;animE;;;;animE;anime;;;;;;;;;anim;;;;;;;;;anim;;anim;anim;anim;;;;;;;
180;aniser;;;;;;;;;;;;;;;;;;;;;;;;;;;;aniz;;;;;;;;;;;;;;;;;;;;
181;ankyloser;;;;;;;;;;;;;;;;;;;âkilOze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;annexer;;;;;;;;;;;;;;;;;anEksE;;anEkse;;;;;;;;;;;;;;;;;;;;;;anEks;;;;;;;anEks
183;annihiler;;;;;;;;;;;;;;;;;;;aniile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;annoncer;;anôsE;;;anôsEr;anôsa;;anôs6rE;;;;anôs6ra;;anôsE;;;anôsE;anôsE;anôse;;;;;;anôsa;anôsô;anôse;anôs;anôsâ;;anôs6rE;;;;anôs6rE;anôsô;anôs;anôse;anôs;anôs;anôs;;;;;;;
185;annoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;anOt;;;;;;;;;;;
186;annuler;;;;;;;;;;;;;;;;;;anylE;anyle;;;;;;;;anyle;anyl;anylâ;;;;;;;;anyl;anyle;anyl;anyl;anyl;;;;;;;
187;anoblir;;;;;;anObli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;anObli;;;;;;;
188;anticiper;;;;;;âtisipa;;;;;;âtisip6ra;;âtisipE;;;;âtisipE;âtisipe;;;;;;;;;âtisip;âtisipâ;;;;;;;;âtisip;;;âtisip;âtisip;;;;;;;
189;anéantir;;;;;;;;;;;;anEâtira;;;;;;;anEâtir;;;;;;;;;anEâti;anEâtisâ;;;;;;anEâtirE;;anEâti;;anEâti;anEâtis;anEâti;;;;;;;anEâtis
190;anémier;;;;;;;;;;;;;;anEmjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;apaiser;;;;;apEzEr;apEza;;;;;;apEz6ra;;;;;;apEzE;apEze;;;;;;apEza;;;apEz;apEzâ;;;;;;apEz6rE;;apEz;;;;apEz;;;;;;;
192;apercevoir;apErsym;apErsy;;;apErsyr;apErsy;;;;;apErs6vrô;apErs6vra;apErs6vjô;apErs6vE;apErs6vje;apErs6vE;apErs6vE;apErs6vE;apErs6vwar;;;;;;apErsy;;;apErswa;apErs6vâ;;apErs6vrE;;apErs6vrE;;apErs6vrE;apErs6vô;apErswa;apErs6ve;apErswa;apErswav;apErswa;;apErs6vjô;apErswav;;;;apErswav
193;apeurer;;;;;;;;;;;;;;;;;;ap6rE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;apitoyer;;;;;;apitwaja;;;;;;;;;;;;;apitwaje;;;;;;;;;apitwa;apitwajâ;;;;;;;;apitwa;apitwaje;;;apitwa;;;;;;;
195;aplanir;;;;;;;;;;;;;;;;;;;aplanir;;;;;;;;aplanise;aplani;;;;;;;;;;;;;;;;;;;;
196;aplatir;;;;;aplatir;aplati;;;;;;;;;;;;aplatisE;aplatir;;;;;;;;;aplati;aplatisâ;;;;;;aplatirE;;;;aplati;aplatis;aplati;;;aplatis;;;;
197;apostropher;;;;;;apOstrOfa;;;;;;;;;;;apOstrOfE;apOstrOfE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;apparaître;;apary;;;aparyr;apary;;;;;aparEtrô;aparEtra;;aparEsE;aparEsje;aparEsE;aparEsE;aparEsE;aparEtr;;;;;;apary;aparEsô;aparEse;aparE;aparEsâ;aparEtriô;;;;aparEtrE;aparEtrE;;aparE;aparEse;aparE;aparEs;aparE;;;aparEs;;;;aparEs
199;appareiller;;;;;;aparEja;;;;;;;;;;;;aparEjE;aparEje;;;;;;;aparEjô;;;;;;;;;;aparEjô;aparEj;;;;aparEj;;;;;;;
200;apparenter;;;;;;;;;;;;;;;;;aparâtE;aparâtE;;;;;;;;;;;aparâtâ;;;;;;;;;;;aparât;aparât;;;;;;;
201;appartenir;;;;;;;apartjêdrô;;;;;apartjêdra;apart6njô;apart6nE;apart6nje;apart6nE;apart6nE;apart6nE;apart6nir;;;;;apartês;apartê;apart6nô;apart6ne;apartjê;apart6nâ;;apartjêdrE;;;;apartjêdrE;apart6nô;apartjê;apart6ne;apartjê;apartjEn;apartjê;;;apartjEn;;;;apartjEn
202;appauvrir;;;;;;;;;;;;;;;;;apOvrisE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;appeler;;ap6lE;;;ap6lEr;ap6la;apEl6rô;apEl6rE;apEl6re;apEl6ra;apEl6rô;apEl6ra;ap6ljô;ap6lE;ap6lje;ap6lE;ap6lE;ap6lE;ap6le;;;;;;ap6la;ap6lô;ap6le;apEl;ap6lâ;;apEl6rE;apEl6rje;apEl6rE;apEl6rE;apEl6rE;ap6lô;apEl;ap6le;apEl;apEl;apEl;;;apEl;ap6lje;apEl;;apEl
204;appesantir;;;;;;ap6zâti;;;;;;;;;;;;;ap6zâtir;;;;;;;;;;;;;;;;;;;;;;ap6zâti;;;;;;;
205;applaudir;;;;;;aplOdi;;aplOdirE;;;;aplOdira;;aplOdisE;;;;aplOdisE;aplOdir;;;;;;;aplOdisô;aplOdise;aplOdi;;;;;;aplOdirE;;aplOdisô;aplOdi;aplOdise;aplOdi;aplOdis;aplOdi;;;;;;;
206;appliquer;;aplikE;;;;aplika;;;aplik6re;;;aplik6ra;;aplikE;;aplikE;;aplikE;aplike;;;;;;;;;aplik;aplikâ;;;;;;aplik6rE;;aplik;aplike;;aplik;aplik;;;;;;;
207;apporter;;apOrtE;;;apOrtEr;apOrta;apOrt6rô;apOrt6rE;;apOrt6ra;apOrt6rô;apOrt6ra;;apOrtE;;apOrtE;apOrtE;apOrtE;apOrte;;;;;;;apOrtô;apOrte;apOrt;apOrtâ;;apOrt6rE;apOrt6rje;;apOrt6rE;apOrt6rE;apOrtô;apOrt;apOrte;apOrt;apOrt;apOrt;;;apOrt;;;;apOrt
208;apposer;;;;;;;;;;;;;;;;;;;apOze;;;;;;;;apOze;apoz;;;;;;;apOz6rE;;;;;;;;;;;;;
209;apprendre;aprim;apri;;apri;aprir;apri;aprâdrô;aprâdrE;aprâdre;aprâdra;aprâdrô;aprâdra;apr6njô;apr6nE;;apr6nE;apr6nE;apr6nE;aprâdr;;;;;;apri;apr6nô;apr6ne;aprâ;apr6nâ;aprâdriô;aprâdrE;aprâdrie;aprâdrE;aprâdrE;aprâdrE;apr6nô;aprâ;apr6ne;aprâ;aprEn;aprâ;;;aprEn;apr6nje;aprEn;;aprEn
210;apprivoiser;;;;;;;;;;;;;;;;;;aprivwazE;aprivwaze;;;;;;;;;aprivwaz;;;;;;;;;aprivwaz;;;;aprivwaz;;;;;;;
211;approcher;aprOSam;aprOSE;;;aprOSEr;aprOSa;aprOS6rô;;aprOS6re;;;aprOS6ra;aprOSjô;aprOSE;aprOSje;aprOSE;aprOSE;aprOSE;aprOSe;;;;;;;aprOSô;aprOSe;aprOS;aprOSâ;;;;;;aprOS6rE;aprOSô;aprOS;aprOSe;aprOS;aprOS;aprOS;;;aprOS;;aprOS;;
212;approfondir;;;;;aprOfôdir;aprOfôdi;;;;;;;;;;;;aprOfôdisE;aprOfôdir;;;;;;;;;;;;;;;;;;;;;;aprOfôdi;;;;;;;
213;approprier;;;;;;;;;;;;;;;;;aprOpriE;;aprOprie;;;;;;;;;;aprOpriâ;;;;;;;;;;;;aprOpri;;;;;;;aprOpri
214;approuver;;apruvE;;;apruvEr;apruva;;;;;;apruv6ra;apruvjô;apruvE;;;apruvE;apruvE;apruve;;;;;;;apruvô;apruve;apruv;apruvâ;;;;apruv6rE;;;apruvô;apruv;apruve;;apruv;apruv;;;;;;;apruv
215;approvisionner;;;;;;;;;;;;;;;;;;;aprOvizjOne;;;;;;;;;;;;;;;;;;;;;;aprOvizjOn;;;;;;;
216;apprécier;;;;;;aprEsja;;;;aprEsira;aprEsirô;aprEsira;;aprEsjE;;aprEsjE;aprEsjE;aprEsjE;aprEsje;;;;;;;aprEsjô;aprEsje;aprEsi;aprEsjâ;;aprEsirE;;aprEsirE;;aprEsirE;aprEsjô;aprEsi;aprEsje;aprEsi;aprEsi;aprEsi;;;;;;aprEsi;
217;appréhender;;;;;;;;;;;;;;aprEâdE;;;aprEâdE;aprEâdE;aprEâde;;;;;;;;;;aprEâdâ;;;;;;;;aprEâd;;;;aprEâd;;;;;;;aprEâd
218;apprêter;;;;;;;;;;;;;;aprEtE;aprEtje;aprEtE;aprEtE;aprEtE;;;;;;;;;aprEte;aprEt;aprEtâ;;;;;;;;aprEt;;;aprEt;aprEt;;;;;;;
219;appuyer;;apHiE;;;apHiEr;apHia;;;;apHira;;apHira;;apHiE;;apHiE;apHiE;apHiE;apHie;;;;;;;;apHie;apHi;apHiâ;;;;;;;;apHi;apHie;apHi;apHi;apHi;;;;;apHi;;
220;appâter;;;;;;;;;;;;;;;;;;;apate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;arabiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arabizâ;;;;;;;;;;;;;;;;;;;
222;arbitrer;;;;;;;;;;;;;;;;;;arbitrE;arbitre;;;;;;;;;arbitr;;;;;;;;;;;;;arbitr;;;;;;;
223;arborer;;;;;;;;;;;;;;;;;arbOrE;arbOrE;;;;;;;;;;;arbOrâ;;;;;;;;arbOr;;;;arbOr;;;;;;;
224;arc-bouter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ark6butâ;;;;;;;;ark6but;;;;ark6but;;;;;;;
225;archiver;;;;;;;;;;;;;;;;;;;arSive;;;;;;;;;;;;;;;;;;;;arSiv;;;;;;;;;
226;arguer;;;;;;arga;;;;;;;;;;;;argE;;;;;;;;;;;argâ;;;;;;;;;;;;;;;;;;;
227;argumenter;;;;;;argymâta;;;;;;;;;;;;;;;;;;;;;;argymât;;;;;;;;;;;;;;;;;;;;
228;armer;;;;;;arma;;;;;;;;;;;;;arme;;;;;;;;arme;arm;;;arm6rE;;;;;;arm;arme;arm;arm;arm;;;;;arm;;
229;arnaquer;;;;;;;;;;;;;;;;;;;arnake;;;;;;;;;arnak;;;;;;;;;;;;arnak;arnak;;;;;;;
230;arpenter;;;;;;arpâta;;;;;;;;arpâtE;;;arpâtE;arpâtE;arpâte;;;;;;;;;arpât;arpâtâ;;;;;;;;arpât;;;arpât;arpât;;;;;;;
231;arquer;;;;;;;;;;;;;;;;;arkE;;arke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;arracher;;araSE;;;araSEr;araSa;;araS6rE;;;araS6rô;araS6ra;;araSE;;araSE;araSE;araSE;araSe;;;;;;araSa;araSô;;araS;araSâ;;;;araS6rE;;araS6rE;araSô;araS;araSe;;araS;araS;;;araS;;;;araS
233;arranger;;;;;;arâZa;arâZ6rô;arâZ6rE;;arâZ6ra;arâZ6rô;arâZ6ra;;arâZE;;arâZE;arâZE;arâZE;arâZe;;;;;;arâZa;;arâZe;arâZ;arâZâ;;;;arâZ6rE;arâZ6rE;arâZ6rE;;arâZ;arâZe;arâZ;arâZ;arâZ;;;;;;arâZ;
234;arrimer;;;;;;;;;;;;;;;;;;;arime;;;;;;;;arime;;;;;;;;;;;;;arim;;;;;;;;
235;arriver;arivam;arivE;;;arivEr;ariva;ariv6rô;ariv6rE;ariv6re;ariv6ra;ariv6rô;ariv6ra;arivjô;arivE;arivje;arivE;arivE;arivE;arive;;;;;;ariva;arivô;arive;ariv;arivâ;ariv6rjô;ariv6rE;ariv6rje;ariv6rE;ariv6rE;ariv6rE;arivô;ariv;arive;ariv;ariv;ariv;;;ariv;arivje;;ariv;ariv
236;arroger;;;;;;;;;;;;;;;;;;arOZE;arOZe;;;;;;;;;;;;;;;;;;arOZ;;;;arOZ;;;;;;;
237;arrondir;;;;;;arôdi;;;;;;;;;;;;arôdisE;arôdir;;;;;;;;;arôdi;arôdisâ;;;;;;;;arôdi;;arôdi;arôdis;;;;;;;;
238;arroser;;;;;;;;;;;arOz6rô;;;;;arOzE;arOzE;arOzE;arOze;;;;;;;arOzô;arOze;aroz;arOzâ;;;;;;arOz6rE;;aroz;arOze;aroz;;aroz;;;;;;;
239;arrêter;arEtam;arEtE;;;arEtEr;arEta;arEt6rô;arEt6rE;;arEt6ra;arEt6rô;arEt6ra;arEtjô;arEtE;arEtje;arEtE;arEtE;arEtE;arEte;;;;;;arEta;arEtô;arEte;arEt;arEtâ;;arEt6rE;arEt6rje;arEt6rE;arEt6rE;arEt6rE;arEtô;arEt;arEte;arEt;arEt;arEt;;arEtjô;arEt;;arEt;arEt;arEt
240;articuler;;;;;;artikyla;;;;;;;;;;;;artikylE;artikyle;;;;;;;;;artikyl;artikylâ;;;;;;;;artikyl;;;;artikyl;;;;;;;
241;asperger;;;;;aspErZEr;;;;;;;;;;;;;aspErZE;aspErZe;;;;;;;;;aspErZ;;;;;;;;;aspErZ;aspErZe;;;;;;;;;;
242;asphalter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asfalt;;;;;;;
243;asphyxier;;;;;;;;;;;;;;;;;;asfiksjE;;;;;;;;;;;asfiksjâ;;;;;;;;asfiksi;;;;;;;;;;;
244;aspirer;;aspirE;;;;aspira;;;;;;;;;aspirje;;aspirE;aspirE;aspire;;;;;;;aspirô;aspire;aspir;aspirâ;;;;;;;aspirô;aspir;aspire;aspir;aspir;aspir;;;;;;;
245;assagir;;;;;;;;;;;;;;;;;;;asaZir;;;;;;;;;;;;;;;;;;;;;;asaZi;;;;;;;
246;assaillir;;asaji;;;asajir;;;;;;;;;;;;;asajE;asajir;;;;;;;;;;;;;;;;;;asaj;;;asaj;;;;;;;;
247;assainir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asEnirE;;;;;;;;;;;;;
248;assaisonner;;;;;;;;;;;;;;;;;;;asEzOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;assassiner;;;;;;asasina;;;;;;;;;;;asasinE;;asasine;;;;;;;;;asasin;asasinâ;;;;;;;;asasin;;asasin;asasin;asasin;;;;;;;asasin
250;assembler;;;;;;;;;;;;;;;;;asâblE;;asâble;;;;;;;;;asâbl;asâblâ;;;;;;;asâblô;;;;asâbl;asâbl;;;;;;;
251;assener;;;;;;as6na;;;;;;;;;;;;;;;;;;;;;;asEn;;;;;;;;;asEn;;;asEn;asEn;;;;;;;
252;asseoir;;asi;;asi;asir;asi;;asjErE,aswarE;;aswara;;;asEjô;asEjE;asEje;;asEjE;asEjE;aswar;;;;;;;asEjô;asEje,aswaje;asje,aswa;asEjâ;;asjErE;;;;asjErE;asEjô;asje,aswa;asEje,aswaje;asje,aswa;asEj,aswa;asje,aswa;;;aswa;;;;asEj,aswa
253;assigner;;;;;;;;;;;;asiJ6ra;;;;;;;asiJe;;;;;;;;;asiJ;;;;;;;;;asiJ;;;;asiJ;;;;;;;
254;assimiler;;;;;asimilEr;;;;;;;;;;;;;asimilE;asimile;;;;;;;;;;;;;;;;;;;asimile;;;asimil;;;;;;;
255;assister;;asistE;;;asistEr;asista;asist6rô;asist6rE;;;asist6rô;;asistjô;asistE;;asistE;;asistE;asiste;;;;;;;asistô;asiste;asist;asistâ;;;;;asist6rE;;asistô;asist;asiste;;asist;asist;;;;;;;asist
256;assiéger;;;;;;asjEZa;;;;;;;;;;;;;asjEZe;;;;;;;;;;;;;;;;;;;;;asjEZ;;;;;;;;
257;associer;;;;;asOsjEr;;;;;;;;;;;;;asOsjE;asOsje;;;;;;;;asOsje;asOsi;asOsjâ;;;;;asOsirE;asOsirE;;asOsi;asOsje;;asOsi;asOsi;;;;;;;
258;assombrir;;;;;asôbrir;asôbri;;;;;;;;;;;;asôbrisE;asôbrir;;;;;;;;;;;;;;;;;;;;asôbri;asôbris;asôbri;;;;;;;
259;assommer;;;;;;asOma;;;;;;;;;asOmje;;;asOmE;asOme;;;;;;;;asOme;asOm;asOmâ;;;;;asOm6rE;;;asOm;;asOm;asOm;asOm;;;;;;;
260;assortir;;;;;;;;;;;;;;;;;;;asOrtir;;;;;;;;;asOrti;;;;;;;;;asOrti;;;;asOrti;;;;;;;
261;assoupir;;;;;;asupi;;;;;;;;;;;;asupisE;asupir;;;;;;;;;;;;asupirE;;;;;;asupi;;asupi;asupis;asupi;;;;;;;
262;assouplir;;;;;;asupli;;;;;;;;;;;;;asuplir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;assourdir;;;;;;;;;;asurdira;;;;;;;asurdisE;;;;;;;;;;;;asurdisâ;;;;;asurdirE;;;asurdi;;asurdi;asurdis;asurdi;;;;;;;
264;assouvir;;;;;;;;;;;;;;;;;;;asuvir;;;;;;;;;;;;;;;;asuvirE;;asuvi;;asuvi;asuvis;;;;;;;;
265;assujettir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asyZEtirE;;;;;;;;;;;;;;
266;assumer;;;;;;asyma;;asym6rE;;;;;;;;;;asymE;asyme;;;;;;;asymô;asyme;asym;;;;;;;;;asym;asyme;;asym;asym;;;;;;;asym
267;assurer;;asyrE;;;asyrEr;asyra;asyr6rô;asyr6rE;;;asyr6rô;asyr6ra;;asyrE;;asyrE;asyrE;asyrE;asyre;;;;;;asyra;asyrô;asyre;asyr;asyrâ;;;;;asyr6rE;asyr6rE;asyrô;asyr;asyre;asyr;asyr;asyr;;;;;asyr;;asyr
268;assécher;;;;;;asESa;;;;;;;;;;;;asESE;asESe;;;;;;;;;asES;;;;;;;;;asES;;;;asES;;;;;;;
269;asséner;;;;;;;;;;;;;;;;;;;asEne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;asticoter;;;;;;;;;;;;;;astikOtE;;;;;astikOte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;astiquer;;;;;;astika;;astik6rE;;;;;;;;;;astikE;astike;;;;;;;;;astik;;;;;;;;;astik;;;astik;astik;;;;;;;
272;astreindre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;astrê;;;;;;;astrEJ
273;atomiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atOmiz;;;;;;;;;;;
274;atrophier;;;;;;;;;;;;;;;;;;;atrOfje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;attabler;;atablE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atabl;;;;;;;;;;;
276;attacher;;ataSE;;;ataSEr;ataSa;;ataS6rE;;;;;;ataSE;ataSje;ataSE;ataSE;ataSE;ataSe;;;;;;;ataSô;ataSe;ataS;ataSâ;;ataS6rE;;ataS6rE;;;ataSô;ataS;ataSe;ataS;ataS;ataS;;;;;;;
