;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMP;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
3016;retentir;;;;;;r6tâti;;;;;;r6tâtira;;;;;r6tâtisE;r6tâtisE;r6tâtir;;;;;;;;;;;;;;;;;;;;;r6tâtis;r6tâti;;;;;;;
3017;retirer;;r6tirE;;;r6tirEr;r6tira;;r6tir6rE;;;;r6tir6ra;r6tirjô;r6tirE;r6tirje;;r6tirE;r6tirE;r6tire;;;;;;;r6tirô;r6tire;r6tir;r6tirâ;;r6tir6rE;;;r6tir6rE;;r6tirô;r6tir;r6tire;r6tir;r6tir;r6tir;;;;;;;r6tir
3018;retomber;;;;;;r6tôba;;;;;;r6tôb6ra;;r6tôbE;;r6tôbE;r6tôbE;r6tôbE;r6tôbe;;;;;;;;;r6tôb;r6tôbâ;;;;;;r6tôb6rE;;r6tôb;;r6tôb;r6tôb;r6tôb;;;;;;;
3019;retordre;;;;;;;;;;;;;;;;;;;r6tOrdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3020;retoucher;;;;;;;;;;;;;;;;;;;r6tuSe;;;;;;;;;r6tuS;r6tuSâ;;;;;;;;;;;;;;;;;;;
3021;retourner;r6turnam;r6turnE;;;r6turnEr;r6turna;r6turn6rô;r6turn6rE;r6turn6re;r6turn6ra;r6turn6rô;r6turn6ra;r6turnjô;r6turnE;;r6turnE;r6turnE;r6turnE;r6turne;;;;;;r6turna;r6turnô;r6turne;r6turn;r6turnâ;;r6turn6rE;;r6turn6rE;r6turn6rE;r6turn6rE;r6turnô;r6turn;r6turne;r6turn;r6turn;r6turn;;;r6turn;;r6turn;;r6turn
3022;retracer;;;;;;;;;;;;;;;;;;r6trasE;r6trase;;;;;;;;;r6tras;;;;;;;;;;;;;;;;;;;;
3023;retraiter;;;;;;;;;;;;;r6trEtjô;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3024;retrancher;;;;;;;;;;;;;;;;;;r6trâSE;r6trâSe;;;;;;;;r6trâSe;;;;;;;;;;;r6trâSe;;r6trâS;;;;;;;;
3025;retranscrire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6trâskri;;;;;;;;;;;
3026;retransmettre;;r6trâsmi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3027;retravailler;;;;;;;;;;;;;;;;;;;r6travaje;;;;;;;;;;;;;;;;;;r6travaj;;;;r6travaj;;;;;;;
3028;retraverser;;;;;;r6travErsa;;;;;;;;;;;;;;;;;;;;;;;r6travErsâ;;;;;;;r6travErsô;r6travErs;;;;;;;;;;;
3029;retremper;;r6trâpE;;;;;;;;;;;;;;;r6trâpE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3030;retrousser;;;;;;r6trusa;;;;;;;;;;;;r6trusE;;;;;;;;;;;r6trusâ;;;;;;;;r6trus;;;;r6trus;;;;;;;
3031;retrouver;r6truvam;r6truvE;;;r6truvEr;r6truva;r6truv6rô;r6truv6rE;r6truv6re;r6truv6ra;r6truv6rô;r6truv6ra;r6truvjô;r6truvE;r6truvje;r6truvE;r6truvE;r6truvE;r6truve;;;;;;r6truva;r6truvô;r6truve;r6truv;r6truvâ;r6truv6rjô;r6truv6rE;r6truv6rje;r6truv6rE;r6truv6rE;r6truv6rE;r6truvô;r6truv;r6truve;r6truv;r6truv;r6truv;;;r6truv;r6truvje;r6truv;;r6truv
3032;retéléphoner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6tElEfOn;;;;;;;
3033;revaloir;;;;;;;;r6vOdrE;;;;r6vOdra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3034;revendiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6vâdik;r6vâdikâ;;;;;;;;r6vâdik;;;r6vâdik;r6vâdik;;;;;;;
3035;revendre;;;;;;;;;;;;;;;;;;;r6vâdr;;;;;;;;r6vâde;;;;;;;;r6vâdrE;;;;;r6vâd;;;;;;;;
3036;revenir;;r6vê;;r6vê;r6vêr;r6vê;r6vjêdrô;r6vjêdrE;r6vjêdre;r6vjêdra;r6vjêdrô;r6vjêdra;r6v6njô;r6v6nE;r6v6nje;r6v6nE;r6v6nE;r6v6nE;r6v6nir;;;;;;r6vê;r6v6nô;r6v6ne;r6vjê;r6v6nâ;;r6vjêdrE;;r6vjêdrE;r6vjêdrE;r6vjêdrE;r6v6nô;r6vjê;r6v6ne;r6vjê;r6vjEn;r6vjê;;;r6vjEn;r6v6nje;r6vjEn;r6vjEn;r6vjEn
3037;reverdir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6vErdi;;;;;;;
3038;reverser;;;;;;r6vErsa;;;;;;;;;;;;;;;;;;;;;;r6vErs;;;;;;;;;;;;;;;;;;;;
3039;revigorer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6vigOr;;;;;;;
3040;revisiter;;;;;;r6vizita;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6vizit;;;;;;;;
3041;revivifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6vivifjâ;;;;;;;;;;;;;;;;;;;
3042;revivre;;;;;;r6vEky;;;;;;r6vivra;;;;r6vivE;r6vivE;r6vivE;r6vivr;;;;;;;;;r6vi;r6vivâ;;;;;;;;r6vi;;r6vi;;r6vi;;;r6viv;;;;r6viv
3043;revoir;;;;;;r6vi;r6vErô;r6vErE;r6vEre;r6vEra;;r6vEra;;r6vwajE;;r6vwajE;;r6vwajE;r6vwar;;;;;;;r6vwajô;r6vwaje;r6vwa;r6vwajâ;r6vErjô;r6vErE;;r6vErE;r6vErE;r6vErE;r6vwajô;r6vwa;r6vwaje;r6vwa;;r6vwa;;;r6vwa;;;;r6vwa
3044;revoler;;;;;;;;;;;;;;;;;;r6vOlE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3045;revomir;;;;;;;;;;;;;;;;;;;r6vOmir;;;;;;;;;;r6vOmisâ;;;;;;;;;;;;;;;;;;;
3046;revouloir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6v2;;;;;;;;;;;
3047;revêtir;;r6vEti;;;;r6vEti;;;;;;;;;;;r6vEtE;r6vEtE;r6vEtir;;;;;;;;r6vEte;;r6vEtâ;;;;;;;;r6vE;;r6vE;r6vEt;r6vE;;;;;;;
3048;rhabiller;;;;;;rabija;;;;;;;;;;;;;rabije;;;;;;;;rabije;rabij;rabijâ;;;;;;;;rabij;rabije;;rabij;rabij;;;rabij;;;;
3049;ribouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ribulâ;;;;;;;;;;;;;;;;;;;
3050;ricaner;;rikanE;;;rikanEr;rikana;;;;;;;rikanjô;rikanE;;rikanE;;rikanE;rikane;;;;;;;;;rikan;rikanâ;;;;;;;;rikan;;rikan;rikan;rikan;;;;;;;
3051;ricocher;;;;;;;;;;;;;;;;;rikOSE;;;;;;;;;;;;rikOSâ;;;;;;;;;;;;;;;;;;;
3052;rider;;;;;;;;;;;;;;;;;;ridE;;;;;;;;;;rid;;;;;;;;;;;;;;;;;;;;
3053;ridiculiser;;;;;;;;ridikyliz6rE;;;;;;;;;;ridikylizE;ridikylize;;;;;;;;;ridikyliz;;;;;;;;;ridikyliz;;ridikyliz;;ridikyliz;;;;;ridikyliz;;
3054;rigoler;;;;;;rigOla;;;;;;rigOl6ra;;rigOlE;;rigOlE;rigOlE;rigOlE;rigOle;;;;;;;rigOlô;rigOle;rigOl;rigOlâ;;;;;;rigOl6rE;rigOlô;rigOl;rigOle;rigOl;rigOl;rigOl;;;;;rigOl;;
3055;rimer;;;;;;rima;;;;;;;;;;;;rimE;;;;;;;;;;rim;;;;;;;;;;;;rim;rim;;;;;;;
3056;rincer;;;;;;rêsa;;;;;;;;;;;;rêsE;rêse;;;;;;;;;rês;rêsâ;;;;;;;;rês;;;rês;rês;;;;;;;
3057;ripailler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ripajô;;;;;;;;;;;;
3058;riper;;;;;;ripa;;;;;;;;;;;;;;;;;;;;;;;ripâ;;;;;;;;;;;;;;;;;;;
3059;riposter;;;;;;ripOsta;;ripOst6rE;;;ripOst6rô;;;;;;;;ripOste;;;;;;;;ripOste;ripOst;;;;;;;;;ripOst;;;;ripOst;;;;;;;
3060;rire;rim;;;;rir;ri;;rirE;rire;;;rira;rijô;rjE;;rjE;rjE;rjE;rir;;;;;;ri;rjô;rje;ri;rjâ;;rirE;;rirE;rirE;rirE;rjô;ri;rje;ri;ri;ri;;;ri;;ri;;ri
3061;risquer;;;;;;riska;;;;;risk6rô;;;riskE;riskje;riskE;riskE;riskE;riske;;;;;;;riskô;riske;risk;riskâ;;risk6rE;risk6rje;risk6rE;risk6rE;risk6rE;riskô;risk;riske;risk;risk;risk;;;;;risk;;risk
3062;rissoler;;;;;;;;;;;;;;;;;;risOlE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3063;rivaliser;;;;;rivalizEr;;;;;;;;;;;;;rivalizE;rivalize;;;;;;;;;;;;;;;;;;;;;rivaliz;rivaliz;;;;;;;
3064;river;;;;;;;;;;;;;;rivE;;;;;rive;;;;;;;;;riv;rivâ;;;;;;;;;;;;;;;;;;;
3065;rocher;;;;;;;;;;;;;;;;;;;rOSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3066;roder;;;;;;;;;;;;;;;;;;;rOde;;;;;;;;;;;;;;;;;;;;;;rOd;;;;;;;
3067;romancer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rOmâs;;;;;;;;;;;
3068;rompre;;;;;;rôpi;;;;;;;;rôpE;;;rôpE;rôpE;rôpr;;;;;;;;rôpe;rô;rôpâ;;;;;rôprE;rôprE;rôpô;rô;rôpe;rô;;rô;;;rôp;;;;rôp
3069;ronchonner;;;;;;;;;;;;;;;;;;rôSOnE;rôSOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3070;ronfler;;;;;;rôfla;;;;;;;;;;rôflE;rôflE;rôflE;rôfle;;;;;;;;rôfle;rôfl;rôflâ;;;;rôfl6rE;;;;rôfl;;rôfl;rôfl;rôfl;;;;;;;
3071;ronger;;rôZE;;;;rôZa;;;;;;;;rôZE;;;rôZE;rôZE;rôZe;;;;;;rôZa;;rôZe;rôZ;rôZâ;;;;;;;;rôZ;;;rôZ;rôZ;;;;;;;
3072;ronronner;;;;;;;;;;;;;;rôrOnE;;;rôrOnE;rôrOnE;rôrOne;;;;;;;;;rôrOn;rôrOnâ;;;;;;;;rôrOn;;;;rôrOn;;;;;;;
3073;roser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;roz;;;;;;;
3074;rosir;;;;;;;;;;;;;;;;;;rOzisE;rOzir;;;;;;;;;;;;;;;;;;;;;;rOzi;;;;;;;
3075;rosser;;;;;;;;;;;;;;;;;;;rOse;;;;;;;;;;rOsâ;;;;;;;;;;;;rOs;;;;;;;
3076;roter;;;;;;;;;;;;rOt6ra;;;;;;rOtE;rOte;;;;;;;;;;;;;;;;;;rOt;;;;rOt;;;;;;;
3077;roucouler;;;;;;;;;;;;;;;;;;rukulE;;;;;;;;;;;;;;;;;;;rukul;;;;rukul;;;;;;;
3078;rouer;;;;;;;;;;;;;;;;;;;rue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3079;rougeoyer;;;;;;;;;;;;;;;;;ruZwajE;ruZwajE;ruZwaje;;;;;;;;;ruZwa;;;;;;;;;;;;;;;;;;;;
3080;rougir;;;;;;ruZi;;;;;;;;;;ruZisE;;ruZisE;ruZir;;;;;;;;ruZise;ruZi;ruZisâ;;;;;;;;ruZi;;ruZi;ruZis;ruZi;;;;;;;
3081;rouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;ruj;;;;;;;;;ruj;;;;ruj;;;;;;;
3082;rouler;;rulE;;;rulEr;rula;;;;;rul6rô;rul6ra;ruljô;rulE;rulje;rulE;rulE;rulE;rule;;;;;;;rulô;rule;rul;rulâ;;rul6rE;;;rul6rE;rul6rE;rulô;rul;rule;rul;rul;rul;;;;;;;rul
3083;roupiller;;;;;;;;;;;;;;rupijE;;;;rupijE;rupije;;;;;;;;rupije;rupij;;;;;;;;;rupij;;;rupij;rupij;;;;;;;
3084;rouspéter;;;;;;;;;;;;ruspEt6ra;;;;;;ruspEtE;;;;;;;;;ruspEte;ruspEt;ruspEtâ;;;;;;;;ruspEt;;;ruspEt;ruspEt;;;;;;;
3085;roussir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rusi;;;;;;;
3086;rouvrir;;;;;;ruvri;;ruvrirE;;;;ruvrira;;;;;ruvrE;ruvrE;ruvrir;;;;;;ruvri;;;ruvr;ruvrâ;;;;;ruvrirE;;;ruvr;ruvre;ruvr;ruvr;ruvr;;;;;;;
3087;rudoyer;;;;;;;;;;;;;;;;;;rydwajE;rydwaje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3088;ruer;;ryE;;;;rya;;;;;;;;ryE;;;ryE;ryE;rye;;;;;;;;;ry;ryâ;;;;;;;;ry;;;ry;ry;;;;;;;
3089;rugir;;;;;;ryZi;;;;;;;;;;;ryZisE;ryZisE;ryZir;;;;;;;;;;;;;;;;;;;;ryZi;ryZis;ryZi;;;;;;;
3090;ruiner;;;;;;;;;;;;rHin6ra;;;;;;rHinE;rHine;;;;;;;;;rHin;rHinâ;;;;rHin6rE;;;;rHin;rHine;rHin;;rHin;;;;;;;
3091;ruisseler;;;;;rHis6lEr;rHis6la;;;;;;;;;;;rHis6lE;rHis6lE;rHis6le;;;;;;;;;rHisEl;rHis6lâ;;;;;;;;rHisEl;;;rHisEl;rHisEl;;;;;;;
3092;ruminer;;;;;;;;;;;;;;ryminE;;;ryminE;;rymine;;;;;;;;;rymin;;;;;;;;;rymin;;;rymin;rymin;;;;;;;
3093;rupiner;;;;;;;;;;;;;;;rypinje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3094;ruser;;;;;;;;;;;;;;;;;;;ryze;;;;;;;;;ryz;ryzâ;;;;;;;;;;;;;;;;;;;
3095;rustiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rystik;;;;;;;
3096;rutiler;;;;;;;;;;;;;;;;;rytilE;rytilE;;;;;;;;;;;rytilâ;;;;;;;;;;;;rytil;;;;;;;
3097;rythmer;;;;;;;;;;;;;;;;;;ritmE;;;;;;;;;;ritm;ritmâ;;;;;;;;ritm;;;;ritm;;;;;;;
3098;râler;;;;;;rala;;;;;;ral6ra;;;;;ralE;ralE;rale;;;;;;;;rale;ral;ralâ;;;;;;;;ral;;ral;;ral;;;;;;;
3099;râper;;;;;;;;;;;;;;;;;;rapE;rape;;;;;;;;;;;;;;;;;;;;;;rap;;;;;;;
3100;réaccoutumer;;;;;;;;;;;;;;;;;;;rEakutyme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3101;réactiver;;;;;;;;;;;rEaktiv6rô;;;;;;;;rEaktive;;;;;;;;;rEaktiv;;;;;;;;;;;;;rEaktiv;;;;;;;
3102;réaffirmer;;;;;;;;;;;;;;;;;;;rEafirme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3103;réagir;;;;;rEaZir;rEaZi;;rEaZirE;;;;rEaZira;;rEaZisE;;;rEaZisE;rEaZisE;rEaZir;;;;;;;;rEaZise;rEaZi;rEaZisâ;;rEaZirE;;rEaZirE;rEaZirE;;;rEaZi;rEaZise;rEaZi;rEaZis;rEaZi;;;rEaZis;;;;rEaZis
3104;réajuster;;;;;;;;;;;;;;;;;;;rEaZyste;;;;;;;;;rEaZyst;;;;;;;;;;;;;;;;;;;;
3105;réaliser;rEalizam;rEalizE;;;;rEaliza;;;;rEaliz6ra;rEaliz6rô;rEaliz6ra;;rEalizE;rEalizje;rEalizE;rEalizE;rEalizE;rEalize;;;;;;;;rEalize;rEaliz;rEalizâ;rEaliz6rjô;;;;;;rEalizô;rEaliz;rEalize;rEaliz;rEaliz;rEaliz;;;rEaliz;;;;
3106;réanimer;;;;;;;;;;;;;;;;;;;rEanime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3107;réapparaître;;;;;rEaparyr;rEapary;;rEaparEtrE;;;;rEaparEtra;;rEaparEsE;;rEaparEsE;rEaparEsE;rEaparEsE;rEaparEtr;;;;;;;;;;;;;;;;;;;;rEaparE;rEaparEs;rEaparE;;;;;;;
3108;réapprendre;;;;;;;;;;;;;;;;;;;rEaprâdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3109;récapituler;;;;;;;;;;;;;;;;;;;rEkapityle;;;;;;;rEkapitylô;;;;;;;;;;;rEkapityl;;;;;;;;;;;
3110;réceptionner;;;;;;rEsEpsjOna;;;;;;;;;;;;;;;;;;;;;;rEsEpsjOn;;;;;;;;;rEsEpsjOn;;;;rEsEpsjOn;;;;;;;
3111;réchapper;;;;;;;;;;;;;;rESapE;;;;;rESape;;;;;;;;;;;;;;;;rESap6rE;;rESap;;;;rESap;;;;;;;
3112;réchauffer;;;;;;rESOfa;;;;;;rESOf6ra;rESOfjô;;;;;rESOfE;rESOfe;;;;;;;;rESOfe;rESof;rESOfâ;;;;;;;;rESof;;;rESof;rESof;;;;;;;
3113;récidiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEsidiv;;rEsidiv;;;;;;;;;
3114;réciter;;;;;;rEsita;;rEsit6rE;;;;;;rEsitE;;rEsitE;rEsitE;rEsitE;rEsite;;;;;;;rEsitô;rEsite;rEsit;rEsitâ;;;;;;rEsit6rE;rEsitô;rEsit;rEsite;rEsit;;rEsit;;;;;;;
3115;réclamer;;rEklamE;;;rEklamEr;rEklama;;;;;;rEklam6ra;;rEklamE;rEklamje;rEklamE;rEklamE;rEklamE;rEklame;;;;;;;rEklamô;rEklame;rEklam;rEklamâ;;;;;;;rEklamô;rEklam;rEklame;;rEklam;rEklam;;;;;;;
3116;récolter;;;;;;;;;;;;rEkOlt6ra;;;;;;;rEkOlte;;;;;;;;;rEkOlt;;;;;;;;;rEkOlt;;rEkOlt;rEkOlt;rEkOlt;;;;;;;
3117;récompenser;;;;;;;rEkôpâs6rô;rEkôpâs6rE;;;;;;;;;;rEkôpâsE;rEkôpâse;;;;;;;;;rEkôpâs;;;;;;;;;rEkôpâs;;;;rEkôpâs;;;;;;;
3118;réconcilier;;;;;;;;;;;;;;;;;;rEkôsiljE;rEkôsilje;;;;;;;;;rEkôsili;;;;;;;rEkôsilirE;rEkôsiljô;;;;rEkôsili;rEkôsili;;;;;;;rEkôsili
3119;réconforter;;;;;;;;;;;;;;;;;;rEkôfOrtE;rEkôfOrte;;;;;;;;;rEkôfOrt;rEkôfOrtâ;;;;;;;;rEkôfOrt;;;rEkôfOrt;rEkôfOrt;;;;;;;
3120;récrier;;;;;;rEkria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEkri;;;;;;;;;;;
3121;récupérer;;rEkypErE;;;;rEkypEra;;rEkypEr6rE;;;;rEkypEr6ra;;rEkypErE;;;;rEkypErE;rEkypEre;;;;;;;;rEkypEre;rEkypEr;rEkypErâ;;rEkypEr6rE;;;;;;rEkypEr;rEkypEre;rEkypEr;;rEkypEr;;;;;;;rEkypEr
3122;récurer;;;;;;;;;;;;;;rEkyrE;;;;;;;;;;;;;;rEkyr;rEkyrâ;;;;;;;;rEkyr;;;;;;;;;;;
3123;récuser;;;;;rEkyzEr;;;;;;;;;;;;rEkyzE;;rEkyze;;;;;;;;;;;;;;;;;;rEkyz;;;;rEkyz;;;;;;;
3124;rédiger;;rEdiZE;;;;rEdiZa;;;;;;;rEdiZjô;rEdiZE;rEdiZje;;rEdiZE;rEdiZE;rEdiZe;;;;;;;;rEdiZe;rEdiZ;;;;;;;;;rEdiZ;rEdiZe;;;rEdiZ;;;;;;;
3125;réduire;;;;;rEdHizir;rEdHizi;;;;;rEdHirô;rEdHira;;;;;;rEdHizE;rEdHir;;;;;;;rEdHizô;rEdHize;rEdHi;rEdHizâ;;;;;;rEdHirE;;rEdHi;rEdHize;rEdHi;rEdHiz;rEdHi;;;rEdHiz;;;;
3126;réentendre;;;;;;;;;;;;;;;;;;;rEâtâdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3127;réessayer;;;;;;;;rEEsErE;;;;;;;;;;;rEEsEje;;;;;;;;rEEsEje;rEEsE;;;;;;;;;rEEsE;rEEsEje;;;rEEsE;;;;;;;
3128;réexaminer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEEgzaminâ;;;;;;;;;;;;rEEgzamin;;;;;;;
3129;réfléchir;;;;;rEflESir;rEflESi;;rEflESirE;rEflESire;;;;;rEflESisE;;rEflESisE;;rEflESisE;rEflESir;;;;;;;rEflESisô;rEflESise;rEflESi;rEflESisâ;;;;;;;rEflESisô;rEflESi;rEflESise;rEflESi;rEflESis;rEflESi;;;rEflESis;;;;rEflESis
3130;réformer;;;;;;;;;;;;;;;;;;;rEfOrme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3131;réfréner;;;;;;;;;;;;;;;;;;;rEfrEne;;;;;;;;;;;;;;;;;;rEfrEn;;;;;;;;;;;
3132;réfugier;;rEfyZjE;;;;rEfyZja;;;;;;rEfyZira;;rEfyZjE;;;;rEfyZjE;rEfyZje;;;;;;;;;rEfyZi;rEfyZjâ;;rEfyZirE;;;;;;rEfyZi;;;rEfyZi;rEfyZi;;;rEfyZi;;;;
3133;réfuter;;;;;;;;;;;;;;;;;;;rEfyte;;;;;;;;;rEfyt;;;;;;;;;;;;;;;;;;;;
3134;référer;;;;;;;;;;;;;;;;;;rEfErE;rEfEre;;;;;;;;rEfEre;rEfEr;rEfErâ;;;;;;;;rEfEr;;;;rEfEr;;;;;;;
3135;régaler;;;;;;rEgala;;;;;rEgal6rô;;;;;;rEgalE;rEgalE;rEgale;;;;;;;;;rEgal;rEgalâ;;;;;rEgal6rE;;;rEgal;rEgale;;;rEgal;;;;;;;
3136;régenter;;;;;;;;;;;;;;;;;;rEZâtE;;;;;;;;;;;;;;;;;;;rEZât;;;;;;;;;;;
3137;régir;;;;;;rEZi;;;;;;;;;;;;rEZisE;rEZir;;;;;;;;;rEZi;rEZisâ;;;;;;;;;;;rEZis;rEZi;;;;;;;
3138;réglementer;;;;;;;;;;;;;;;;;;;rEgl6mâte;;;;;;;;;;rEgl6mâtâ;;;;;;;;;;;;;;;;;;;
3139;régler;;;;;rEglEr;rEgla;rEgl6rô;rEgl6rE;;;rEgl6rô;rEgl6ra;;;;rEglE;rEglE;rEglE;rEgle;;rEglas;;;;;rEglô;rEgle;rEgl;rEglâ;;;;;;rEgl6rE;rEglô;rEgl;rEgle;rEgl;rEgl;rEgl;;;;;rEgl;;rEgl
3140;régner;;;;;rEJEr;;rEJ6rô;;;;rEJ6rô;rEJ6ra;;rEJE;;;rEJE;rEJE;rEJe;;;;;;;;rEJe;rEJ;rEJâ;;;;;;;;rEJ;rEJe;;rEJ;rEJ;;;;;;;
3141;régresser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEgrEs;;;;rEgrEs;;;;;;;
3142;régulariser;;;;;;;;;;;;;;;;;;;rEgylarize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3143;réguler;;;;;;;;;;;;;;;;;;;rEgyle;;;;;;;;;;;;;;;;;;;;;rEgyl;;;;;;;;
3144;régénérer;;;;;;;;;;;;;;;;;;;rEZEnEre;;;;;;;;;;;;;;;;;;;;;rEZEnEr;;;;;;;;
3145;réhabiliter;;;;;;;;;;;;;;;;;;;rEabilite;;;;;;;;;;;;;;;;rEabilit6rE;;;;;;rEabilit;;;;;;;
3146;réhabituer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEabity;;;;;;;;;;;
3147;réincarner;;;;;;;;;;;;;;;;;;;rEêkarne;;;;;;;;;;;;;;;;rEêkarn6rE;;rEêkarn;;;;;;;;;;;
3148;réinstaller;;;;;;;;;;;;;;;;;;rEêstalE;rEêstale;;;;;;;;;;;;;;;;;rEêstalô;;;;;;;;;;;;
3149;réintégrer;;;;;;;;;;;;;rEêtEgrjô;;;;;rEêtEgrE;rEêtEgre;;;;;;;;;;rEêtEgrâ;;;;;;;;;;;;;;;;;;;
3150;réinventer;;;;;;;;;;;;;;;;;;rEêvâtE;rEêvâte;;;;;;;;;rEêvât;;;;;;;;;;;;;;;;;;;;
3151;réitérer;;;;;;;;;;;;;;;;;;rEitErE;rEitEre;;;;;;;;;;;;;;;;;;;;;;rEitEr;;;;;;;
3152;réjouir;;;;;rEZuir;rEZui;;;;;rEZuirô;;;rEZuisE;;rEZuisE;;rEZuisE;rEZuir;;;;;;;rEZuisô;rEZuise;rEZui;rEZuisâ;;rEZuirE;;;;;rEZuisô;rEZui;rEZuise;rEZui;rEZuis;rEZui;;;rEZuis;;;;
3153;rénover;;;;;;;;;;;;;;;;;;;rEnOve;;;;;;;;;;;;;;;;;;;;;;rEnOv;;;;;;;
3154;réoccuper;;;;;;;;;;;;;;;;;;;rEOkype;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3155;réorganiser;;;;;;;;;;;;;;;;;;;rEOrganize;;;;;;;;;;;;;;;;;;;;;;rEOrganiz;;;;;;;
3156;répandre;;;;;;rEpâdi;rEpâdrô;rEpâdrE;;;rEpâdrô;rEpâdra;;;;;rEpâdE;rEpâdE;rEpâdr;;;;;;;;;rEpâ;rEpâdâ;;;;;;;;rEpâ;;rEpâ;rEpâd;rEpâ;;;rEpâd;;;;
3157;réparer;;;;;;;;rEpar6rE;;;;rEpar6ra;;rEparE;;rEparE;rEparE;rEparE;rEpare;;;;;;;rEparô;rEpare;rEpar;rEparâ;;;;;;;;rEpar;rEpare;;rEpar;rEpar;;;;;;rEpar;
3158;répartir;;;;;;rEparti;;;;;;;;;;;;;rEpartir;;;;;;;;;rEparti;;;;;;;;;rEparti;;rEparti;rEpartis;rEparti;;;;;;;
3159;répercuter;;;;;;;;;;;;;;;;;;rEpErkytE;rEpErkyte;;;;;;;;;;rEpErkytâ;;;;;;;;;;;rEpErkyt;rEpErkyt;;;;;;;
3160;répliquer;;rEplikE;;;;rEplika;;;;;;;;;;;;rEplikE;;;;;;;;;;rEplik;;;;;;;;;rEplik;;rEplik;;rEplik;;;;;;;
3161;répondre;;rEpôdi;;;rEpôdir;rEpôdi;;rEpôdrE;rEpôdre;rEpôdra;rEpôdrô;rEpôdra;;rEpôdE;rEpôdje;rEpôdE;rEpôdE;rEpôdE;rEpôdr;;;;;;rEpôdi;rEpôdô;rEpôde;rEpô;rEpôdâ;;rEpôdrE;rEpôdrie;rEpôdrE;rEpôdrE;rEpôdrE;rEpôdô;rEpô;rEpôde;rEpô;rEpôd;rEpô;;;rEpôd;;rEpôd;;rEpôd
3162;réprimander;;;;;;;;;;;;;;;;;;;rEprimâde;;;;;;;;;;;;;;;;;;rEprimâd;;;;rEprimâd;;;;;;;
3163;réprimer;rEprimam;;;;;rEprima;;;;;;;;;;;;;rEprime;;;;;;;;;rEprim;rEprimâ;;;;;;;;rEprim;;;;rEprim;;;;;;;
