;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
3383;soulever;;sul6vE;;;;sul6va;;sulEv6rE;;;;sulEv6ra;;;;;sul6vE;sul6vE;sul6ve;;;;;;;;sulEv;sul6vâ;;;;;sulEv6rE;;sul6vô;sulEv;sul6ve;;sulEv;sulEv;;sul6ve;sul6ve;sul6ve;;;;;;
3384;souligner;;suliJE;;;;;;;;;;;;;;;suliJE;suliJE;suliJe;;;;;;;;suliJ;suliJâ;;;;;;;;suliJ;;;suliJ;suliJ;;suliJe;suliJe;suliJe;;;;;;
3385;soumettre;;sumi;;;;sumi;;sumEtrE;;;;;;sumEtE;;;;sumEtE;sumEtr;;;;;;;;sumE;sumEtâ;;;;;;sumEtrE;sumEtô;sumE;sumEte;sumE;sumEt;sumE;sumiz;sumiz;;;;;;;;
3386;souper;;;;;;;;;;;;;;supE;;;;;supe;;;;;;;;sup;;;;;;;;supô;sup;;sup;;sup;;;;;;;;;;
3387;soupeser;;;;;;;;;;;;;;;;;;sup6zE;sup6ze;;;;;;;;supEz;sup6zâ;;;;;;;;supEz;;;;supEz;;;;;;;;;;
3388;soupirer;;supirE;;;;supira;;;;;;;;supirE;;;;supirE;supire;;;;;;;supire;supir;supirâ;;;;;;;;supir;supire;;supir;supir;;;;supire;;;;;;
3389;soupçonner;;supsOnE;;;;supsOna;;;;;;supsOn6ra;;supsOnE;;supsOnE;supsOnE;supsOnE;supsOne;;;;;supsOna;;supsOne;supsOn;;;;;;;supsOn6rE;;supsOn;;;supsOn;supsOn;;supsOne;supsOne;supsOne;;;;;;
3390;sourciller;;;;;;;;;;;;;;;;;;;sursije;;;;;;;;;;;;;;;;;;;;;sursij;;;;;;;;;;
3391;sourdre;;;;;;;;;;;;;;;;;;;surdr;;;;;;;;;;;;;;;;;;;;;sur;;;;;;;;;;
3392;sourire;;;;;;suri;;;;;;;;;;surjE;surjE;surjE;surir;;;;;;;surje;suri;surjâ;;;;;;surirE;;suri;surje;suri;suri;suri;;;;;;;;;;suri
3393;sous-entendre;;;;;;;;;;;;;;suzâtâdE;;;;suzâtâdE;suzâtâdr;;;;;;;;;;;;;;;;;;suzâtâde;;;;;;;;;;;;;
3394;sous-estimer;;;;;;;;;;;;;;;;;;suzEstimE;suzEstime;;;;;;;suzEstime;;;;;;;;;;suzEstim;suzEstime;suzEstim;;suzEstim;suzEstime;;;suzEstime;;;;;;
3395;sous-louer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sulu;;;;;;;;;;
3396;sous-payer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;supEje;supEje;;;;;;
3397;sous-tendre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sutâd;;;;;;;;;;;
3398;sous-titrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sutitre;;;;;;
3399;sous-traiter;;;;;;;;;;;;;;;;;;;sutrEte;;;;;;;;;;;;;;;;;;;;;;;;sutrEte;;;;;;;
3400;souscrire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;suskri;;;;;;suskri;;;;;;
3401;soustraire;;;;;;;;;;;;;;;;;;;sustrEr;;;;;;;;;;;;;;;;;;;;;;;;sustrE;;;;;;;
3402;soutenir;;;;;;sutê;;sutjêdrE;;;sutjêdrô;sutjêdra;sut6njô;sut6nE;;;sut6nE;sut6nE;sut6nir;;;;;;;sut6ne;sutjê;sut6nâ;;;;;;sutjêdrE;;sutjê;;sutjê;sutjEn;sutjê;;sut6ny;sut6ny;sut6ny;;;;;;
3403;soutirer;;;;;;;;;;;;;;;;;;;sutire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3404;souvenir;;suvê;;;;suvê;;suvjêdrE;;suvjêdra;suvjêdrô;suvjêdra;;suv6nE;;suv6nE;suv6nE;suv6nE;suv6nir;;;;;suvê;suv6nô;suv6ne;suvjê;;;suvjêdrE;;suvjêdrE;;suvjêdrE;suv6nô;suvjê;suv6ne;suvjê;suvjEn;suvjê;;suv6ny;;suv6ny;;suvjEn;suv6nje;suvjEn;;suvjEn
3405;soûler;;;;;;;;;;;;;;;;;;;sule;;;;;;;sule;sul;;;sul6rE;;;;;;sul;;;;sul;;;;sule;;;;;;
3406;spolier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;spOli;;;;spOlje;;;;;;
3407;sponsoriser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;spônsOriz;;;;;;;;;;
3408;spécialiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;spEsjalize;spEsjalize;spEsjalize;;;;;;
3409;spécifier;;;;;;;;;;;;;;;;;;spEsifjE;spEsifje;;;;;;;;spEsifi;spEsifjâ;;;;;;;;;;;;spEsifi;;;;spEsifje;;;;;;
3410;spéculer;;;;;;;;;;;;;;;;;;;;;;;;;;;spEkyl;;;;;;;;;;spEkyle;;;;;;;;;;;;;
3411;stabiliser;;;;;;;;;;;;;;;;;;;stabilize;;;;;;;stabilize;stabiliz;;;;;;;;;;;;;stabiliz;;;;stabilize;;;;;;
3412;stagner;;;;;;stagna;;;;;;;;;;;;stagnE;;;;;;;;;stagn;;;;;;;;;;;;;stagn;;;;;;;;;;
3413;staliniser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;stalinize;;;;;;;;
3414;stationner;;;;;;;;;;;;;;;;;stasjOnE;stasjOnE;;;;;;;;;;;;;;;;;;;;;stasjOn;stasjOn;stasjOne;stasjOne;stasjOne;stasjOne;;;;;;
3415;statuer;;;;;;;;;;;;;;;;;;;statye;;;;;;;;;;;;;;;statyrE;;staty;;;;;;;;;;;;;;
3416;statufier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;statyfje;;;;;;
3417;stimuler;;;;;;;;;;;;;;;;;;stimylE;stimyle;;;;;;;;;stimylâ;;;;;;;;stimyl;;;stimyl;stimyl;;stimyle;;;;;;;;
3418;stipuler;;;;;;;;;;;;;;;;;;;;;;;;;;;stipyl;;;;;;;;;;;;stipyl;stipyl;;;;;;;;;;
3419;stocker;;;;;;;;;;;;;;;;;;stOkE;stOke;;;;;;;;;;;;;;;;;;;;stOk;stOk;;stOke;;stOke;;;;;;
3420;stopper;;;;;stOpEr;stOpa;;;;;;;;;;;;;stOpe;;;;;;;;stOp;;;;;;;;;stOp;stOpe;;;stOp;;;;stOpe;;;;;;
3421;stresser;;;;;;;;;;;;;;;;;;;strEse;;;;;;;;strEs;;;;;;;;;;;;;strEs;;strEse;;strEse;;;;;;
3422;strier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;strie;strie;;;;;;;;
3423;structurer;;;;;;;;;;;;;;;;;;;stryktyre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3424;stupéfier;;;;;;stypEfja;;;;;;;;;;;;;stypEfje;;;;;;;;;;;;;;;;;;;;;;;;;stypEfje;;;;;;
3425;styliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;stilize;;;;;;
3426;stériliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;stEriliz;;;;;;;;;;;;;;
3427;stéréotyper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;stErEOtipe;;;;;;;;
3428;subir;;;;;;;;sybirE;;;;;;sybisE;;sybisE;sybisE;sybisE;sybir;;;;;;;;sybi;;;;;;;;;sybi;;sybi;sybis;sybi;sybi;sybi;sybi;sybi;;;;;;
3429;subjuguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sybZyge;sybZyge;;;;;;;
3430;sublimer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syblim;;;;;;;;;;;
3431;submerger;;;;;;sybmErZa;;;;;;;;;;;;;sybmErZe;;;;;;;;;sybmErZâ;;;;;;;;sybmErZ;;;;;;sybmErZe;sybmErZe;sybmErZe;;;;;;
3432;subodorer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sybOdOr;;;;;;;;;;;;;;
3433;subordonner;;;;;;;;;;;;;;;;;;;sybOrdOne;;;;;;;;;;;;;;;;;;;;;;;;;sybOrdOne;;;;;;
3434;suborner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sybOrne;;;;;;;;
3435;subsister;;;;;;sybzista;;;;;;;;;;;sybzistE;sybzistE;sybziste;;;;;;;;sybzist;sybzistâ;;;;;;;;sybzist;;;sybzist;sybzist;;;;;;;;;;
3436;substituer;;;;;;sybstitya;;;;;;;;;;;;sybstityE;sybstitye;;;;;;sybstityô;;;;;;;;;;;;sybstitye;;;sybstity;;;;sybstitye;;;;;;
3437;subtiliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sybtilize;;;;;;;;
3438;subventionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sybvâsjOn;;;;;;;;;;
3439;succomber;;;;;;sykôba;;;;;;;;;;;sykôbE;;sykôbe;;;;;;;;sykôb;sykôbâ;;;;;;;;;;;sykôb;sykôb;;;;;;;;;;
3440;succéder;;;;;syksEdEr;syksEda;;;;;;syksEd6ra;;;;;syksEdE;syksEdE;syksEde;;;;;;;;syksEd;syksEdâ;;;;;;;;syksEd;;;syksEd;syksEd;;;;;;;;;;
3441;sucer;;;;;;sysa;;sys6rE;;;;;;sysE;;;sysE;sysE;syse;;;;;;;;sys;sysâ;;;;;;;;sys;syse;sys;sys;sys;;;;syse;;sys;;;;
3442;sucrer;;;;;;;;;;;;;;;;;;;;;;;;;;;sykr;sykrâ;;;;;;;;;;;;sykr;sykre;;;sykre;;;;;;
3443;suer;;;;;;;;;;;;;;;;;;;sye;;;;;;;;sy;syâ;;;;;;;;sy;;sy;;sy;;;;sye;;;;;;sy
3444;suffire;;;;;;syfi;;;;;syfirô;syfira;syfizjô;;;;syfizE;syfizE;syfir;;;;;syfi;;;syfi;syfizâ;;;;;syfirE;syfirE;;;syfize;;syfiz;syfi;;;;;;;;;;syfiz
3445;suffoquer;;;;;;;;;;;;;;;;;;syfOkE;;;;;;;;;;syfOkâ;;;;;;;syfOkô;;;;;syfOk;;;syfOke;syfOke;;;;;;
3446;suggérer;;;;;;syZEra;;;;;;;;;syZErje;;;syZErE;syZEre;;;;;;syZErô;syZEre;syZEr;syZErâ;;;;;;;;syZEr;syZEre;syZEr;syZEr;syZEr;syZEre;;;syZEre;;syZEr;;;;
3447;suicider;;;;;;sHisida;;sHisid6rE;;;;;;;;;;;sHiside;;;;;;;;sHisid;;;;;;;;;sHisid;;sHisid;;sHisid;;sHiside;sHiside;sHiside;;;;;;
3448;suinter;;;;;;;;;;;;;;;;;;sHêtE;sHête;;;;;;;;;;;;;;;;;;;;;sHêt;;;;;;;;;;
3449;suivre;sHivim;sHivi;;;sHivir;sHivi;sHivrô;sHivrE;sHivre;;sHivrô;sHivra;;sHivE;;sHivE;sHivE;sHivE;sHivr;;;;sHivis;;sHivô;sHive;sHi;sHivâ;;sHivrE;;;sHivrE;sHivrE;sHivô;sHi;sHive;;sHiv;sHi;sHivi;sHivi;sHivi;sHivi;;sHiv;sHivje;sHiv;sHiv;sHiv
3450;superposer;;;;;;;;;;;;;;;;;sypErpOzE;;;;;;;;;;;;;;;;;;;;;;sypErpoz;sypErpoz;sypErpOze;;;;;;;;;
3451;superviser;;;;;;;;;;;;sypErviz6ra;;sypErvizE;;;;sypErvizE;;;;;;;;;;;;;;;;;;sypErviz;;;;;;sypErvize;;sypErvize;;;;;;
3452;supplanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syplât;;;;;syplâte;;;;;;
3453;supplicier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syplisje;;;;;;;
3454;supplier;;;;;;syplia;;syplirE;;syplira;;;;sypliE;;sypliE;;sypliE;syplie;;;;;;;;sypli;sypliâ;;;;;;;;sypli;;sypli;;sypli;;;;syplie;;sypli;;;;
3455;suppléer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syple;;;;;;;;;;;
3456;supporter;;sypOrtE;;;;sypOrta;;sypOrt6rE;sypOrt6re;sypOrt6ra;;sypOrt6ra;;sypOrtE;;sypOrtE;;sypOrtE;sypOrte;;;;;;sypOrtô;sypOrte;sypOrt;sypOrtâ;;sypOrt6rE;;sypOrt6rE;;sypOrt6rE;;sypOrt;sypOrte;sypOrt;sypOrt;sypOrt;;;sypOrte;sypOrte;;sypOrt;;;sypOrt;
3457;supposer;;;;;;;;;;;;;;sypOzE;;sypOzE;;sypOzE;sypOze;;;;;;sypOzô;sypOze;sypoz;sypOzâ;;;;;;sypOz6rE;sypOzô;sypoz;sypOze;;sypoz;sypoz;;sypOze;sypOze;sypOze;;;;;;
3458;supprimer;;syprimE;;;;;;;;;;;;;;;;syprimE;syprime;;;;;;;syprime;syprim;syprimâ;;;;;;;syprimô;syprim;;;;syprim;syprime;;syprime;syprime;;;;;;
3459;supputer;;;;;;;;;;;;;;;;;sypytE;sypytE;sypyte;;;;;;;;;;;;;;;;;sypyt;;;;sypyt;;;;;;;;;;
3460;surcharger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrSarZ;;;;;syrSarZe;syrSarZe;;syrSarZe;;;;;;
3461;surchauffer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrSOfe;syrSOfe;;syrSOfe;;;;;;
3462;surclasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrklase;;;;;;
3463;surenchérir;;;;;;;;;;;;;;;;;;;syrâSErir;;;;;;;;;;;;;;;;;;;;;syrâSEri;;;;;;;;;;
3464;surestimer;;;;;;;;;;;;;;;;;;;;;;;;;;syrEstime;syrEstim;;;;;;;;;;;;;syrEstim;;;;;;;;;;
3465;surexciter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrEksite;;syrEksite;syrEksite;;;;;;
3466;surfer;;;;;;;;;;;;;;;;;;;syrfe;;;;;;;;syrf;syrfâ;;;;;;;;syrf;;;;syrf;;;;;;;;;;
3467;surgeler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrZ6le;;;;;;
3468;surgir;;;;;syrZir;syrZi;;;;;;;;;;;syrZisE;syrZisE;syrZir;;;;;;;syrZise;syrZi;syrZisâ;;;;;;;;syrZi;syrZise;syrZi;syrZis;syrZi;syrZi;syrZi;;syrZi;;;;;;
3469;suriner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrin;;;;;;;;;;;
3470;surmener;;;;;;;;;;;;;;;;;;syrm6nE;;;;;;;;;;;;;;;;;;;;;;;syrm6ne;;;syrm6ne;;;;;;
3471;surmonter;;syrmôtE;;;;;;;;;;syrmôt6ra;;;;;syrmôtE;syrmôtE;syrmôte;;;;;;;;syrmôt;syrmôtâ;;;;;;;;syrmôt;;;syrmôt;syrmôt;;syrmôte;syrmôte;syrmôte;;;;;;
3472;surnager;;;;;;;;;;;;;;;;;syrnaZE;syrnaZE;;;;;;;;;syrnaZ;;;;;;;;;;;;;;;;;;;;;;;
3473;surnommer;;;;;;syrnOma;;;;;;;;syrnOmE;;;;syrnOmE;syrnOme;;;;;;;;syrnOm;;;;;;;;;syrnOm;;;;;;syrnOme;;syrnOme;;;;;;
3474;surpasser;;;;;;;;;;;;syrpas6ra;;;;;;syrpasE;syrpase;;;;;syrpasa;;;syrpas;;;;;;;;;syrpas;;syrpas;;syrpas;;syrpase;syrpase;syrpase;;;;;;
3475;surplomber;;;;;;;;;;;;;syrplôbjô;;;;syrplôbE;syrplôbE;;;;;;;;;syrplôb;syrplôbâ;;;;;;;;syrplôb;;;syrplôb;syrplôb;;;;;;;;;;
3476;surprendre;;syrpri;;syrpri;;syrpri;;;;;;syrprâdra;syrpr6njô;syrpr6nE;;syrpr6nE;syrpr6nE;syrpr6nE;syrprâdr;;;;;;;;syrprâ;syrpr6nâ;;;;syrprâdrE;;;;syrprâ;syrpr6ne;syrprâ;syrprEn;syrprâ;;syrpriz;;;;;;;;syrprEn
3477;sursauter;;;;;;syrsOta;;;;;;;;;;;;;syrsOte;;;;;;;syrsOte;syrsot;syrsOtâ;;;;;;;syrsOtô;syrsot;;;;syrsot;;;;;;;;;;
3478;surveiller;;;;;;syrvEja;;syrvEj6rE;;;;syrvEj6ra;;syrvEjE;syrvEje;syrvEjE;syrvEjE;syrvEjE;syrvEje;;;;;;;syrvEje;syrvEj;syrvEjâ;;;;;;;syrvEjô;syrvEj;syrvEje;syrvEj;syrvEj;syrvEj;syrvEje;syrvEje;syrvEje;syrvEje;;;;;;syrvEj
3479;survenir;;;;;;syrvê;;;;;syrvjêdrô;syrvjêdra;;;;;syrv6nE;syrv6nE;syrv6nir;;;;;;;;;;;;;;;;;;;;;syrvjê;;syrv6ny;syrv6ny;syrv6ny;;;;;;
3480;survivre;;;;;;syrvEky;;syrvivrE;syrvivre;;syrvivrô;syrvivra;;;;;;syrvivE;syrvivr;;;;;;;;syrvi;syrvivâ;;syrvivrE;;;syrvivrE;syrvivrE;;syrvi;;syrvi;syrviv;syrvi;;;;syrvEky;;syrviv;;syrviv;;
3481;survoler;;;;;;syrvOla;;;;;;syrvOl6ra;syrvOljô;;;;;;syrvOle;;;;;;;;syrvOl;;;;;;;;;syrvOl;;;;;;;;syrvOle;;;;;;
3482;surélever;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrEl6ve;;;syrEl6ve;;;;;;
3483;susciter;;;;;;;;;;;;;;sysitE;;sysitE;sysitE;sysitE;sysite;;;;;;;;sysit;sysitâ;;;;;;;;sysit;;;;sysit;;;;sysite;;;;;;
3484;suspecter;;;;;;;;;;;;;;;;;;syspEktE;syspEkte;;;;;;;;syspEkt;;;;;;;;;syspEkt;syspEkte;;;syspEkt;;;syspEkte;;;;;;;
3485;suspendre;;;;;;syspâdi;;;;;;;;;;;syspâdE;syspâdE;syspâdr;;;;;;syspâdô;syspâde;syspâ;syspâdâ;;;;;;syspâdrE;;syspâ;;;;syspâ;syspâdy;syspâdy;syspâdy;syspâdy;;;;;;
3486;sustenter;;;;;;;;;;;;;;;;;;;systâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;systât
3487;susurrer;;;;;;;;;;;;;;;;;;;;;;;;;;;sysyr;;;;;;;;;;;;;sysyr;;sysyre;;sysyre;;;;;;
3488;suçoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;sysOtâ;;;;;;;;sysOt;;;;;;;;;;;;;;
3489;symboliser;;;;;;;;;;;;;;;;;;sêbOlizE;sêbOlize;;;;;;;;sêbOliz;;;;;;;;;sêbOliz;;;;sêbOliz;;;sêbOlize;;;;;;;
3490;sympathiser;;;;;;;;;;;;;;;;;;sêpatizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3491;synchroniser;;;;;;;;;;;;;;;;;;;;;;;;;;sêkrOnize;;;;;;;;;sêkrOnizô;;;;;;sêkrOnize;;;sêkrOnize;;;;;;
3492;sécher;;;;;;;;;;;;;;sESE;;;sESE;sESE;sESe;;;;;;;sESe;sES;;;;;;;;;sES;sESe;;sES;sES;sESe;sESe;sESe;sESe;;;;;;sES
3493;sécréter;;;;;;;;;;;;;;sEkrEtE;;;;;;;;;;;;;;;;;;;;;;;;;sEkrEt;sEkrEt;;;;;;;;;;
3494;sécuriser;;;;;;;;;;;;;;;;;;;sEkyrize;;;;;;;sEkyrize;;;;;;;;;;;sEkyrize;;;;;sEkyrize;;sEkyrize;;;;;;
3495;séduire;;;;;;;;;;;;;;;;;;sEdHizE;sEdHir;;;;;;;;;sEdHizâ;;;;;;;;sEdHi;;;;sEdHi;;sEdHit;sEdHi;sEdHi;;;;;;sEdHiz
3496;séjourner;;;;;;sEZurna;;;;;;;;;;;;sEZurnE;;;;;;;;;sEZurn;sEZurnâ;;;;;;;;sEZurn;;;;sEZurn;;;;;;;;;;
3497;sélectionner;;;;;;;;;;;;;;;;;;;sElEksjOne;;;;;;;;;;;;;;;;;;;;;;;;;sElEksjOne;;;;;;
3498;séparer;;;;;sEparEr;sEpara;sEpar6rô;;;;;sEpar6ra;;;;;sEparE;sEparE;sEpare;;;;;;sEparô;sEpare;sEpar;sEparâ;;;;;sEpar6rE;sEpar6rE;sEparô;sEpar;sEpare;;sEpar;sEpar;sEpare;sEpare;sEpare;sEpare;;;;;;
3499;séquestrer;;;;;;;;;;;;;;;;;;sEkEstrE;sEkEstre;;;;;;;;;;;;;;;;;;;;;;;sEkEstre;;sEkEstre;;;;;;
3500;sévir;;;;;;sEvi;;;;;;;;;;;;sEvisE;sEvir;;;;;;;;;;;;;;;;;;;;;sEvi;;;;;;;;;;
3501;tabasser;;;;;;;;;;;;;;;;;;;tabase;;;;;;;;tabas;;;;;;;;;tabas;;tabas;;tabas;;tabase;;tabase;;;;;;
3502;tabler;;;;;;;;;;;;;;;;;;;;;;;;;;;tabl;;;;;;;;;;;;;tabl;;;;;;;;;;
3503;tacher;;;;;;;;;;;;;;;;;;taSE;;;;;;;;taSe;taS;taSâ;;;;;;;;taS;;taS;;taS;taSe;taSe;taSe;taSe;;;;taS;;
3504;tacheter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;taS6te;taS6te;taS6te;taS6te;;;;;;
3505;tailler;;;;;;taja;;;;;;taj6ra;;tajE;;;tajE;tajE;taje;;;;;;;;taj;tajâ;;;;;;;;taj;taje;;taj;taj;taje;taje;taje;taje;;;;;;taj
3506;taire;;ty;;;tyr;ty;;tErE;;;tErô;;tEzjô;tEzE;;;tEzE;tEzE;tEr;;;;;;;tEze;tE;tEzâ;;;;;;;tEzô;tE;tEze;tE;tEz;tE;;;ty;;;;;tEz;;tEz
3507;taler;;;;;;;;;;;;;;;;;;talE;;;;;;;talô;;;;;;;;;;;;;;;;;;;;;;;;;
3508;talonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;talOn;;;;;;;;;;
3509;talquer;;;;;;talka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3510;tambouriner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tâburin;;;tâburin;tâburin;;;;;;;;;;
3511;tamiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tamize;;;;;;;;
3512;tamponner;;;;;;;;;;;;;;;;;;;;;;;;;;;tâpOn;;;;;;;;;tâpOn;tâpOne;;;tâpOn;;;;tâpOne;;;;;;
3513;tanguer;;;;;;tâga;;;;;;;;;;;;tâgE;tâge;;;;;;;;;;;;;;;;;tâg;;;;tâg;;;;;;;;;;
3514;tanner;;;;;;;;;;;;;;;;;;;tane;;;;;;;;;;;;;;;;;;;;;;;;;tane;;;;;;
3515;taper;tapam;;;;;tapa;;;;;;tap6ra;;tapE;;tapE;tapE;tapE;tape;;;;;;;tape;tap;tapâ;;tap6rE;;;;tap6rE;;tap;tape;tap;tap;tap;;tape;;tape;;tap;;tap;;tap
3516;tapiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tapin;;;;tapin;;;;;;;;;;
3517;tapir;;;;;;tapi;;;;;;;;;;;;;tapir;;;;;;;;tapi;;;;;;;;;tapi;;;;;;tapi;tapi;tapi;;;;;;
3518;tapisser;;;;;;;;;;;;;;;;;;tapisE;;;;;;;;;;;;;;;;;;;;;tapis;;;;tapise;;;;;;;
3519;tapoter;;;;;;tapOta;;;;;;;;;;;;tapOtE;tapOte;;;;;;;;tapOt;tapOtâ;;;;;;;;tapOt;;;;tapOt;;;;;;;;;;
3520;taquiner;;;;;;;;;;;;;;;;;;;takine;;;;;;;;takin;takinâ;;;;;;;;takin;;;;takin;;;;takine;;;;;;takin
3521;tarabuster;;;;;;;;;;;;;;;;;;tarabystE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3522;tarauder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tarod;;;tarod;tarod;;;tarOde;;;;;;;
3523;tarder;;tardE;;;tardEr;tarda;;;;;;;;tardE;tardje;tardE;tardE;tardE;tarde;;;;;;;tarde;tard;;;;;;;tard6rE;;tard;;;;tard;;;;;;;;;;
3524;tarer;;;;;;tara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tare;;;;;;
3525;targuer;;;;;;;;;;;;;;;;;;;targe;;;;;;;;;;;;;;;;;;;;;targ;;;;;;;;;;
3526;tarir;;;;;;tari;;;;;;;;;;;;;tarir;;;;;;;;;;;;;;;;;;;;;tari;tari;tari;;;;;;;;
3527;tartiner;;;;;;tartina;;;;;;;;;;;;;tartine;;;;;;;;;;;;;;;;;;tartine;;;tartin;;;;;;;;;;
3528;tasser;;tasE;;;;tasa;;;;;;;;;;;;tasE;tase;;;;;;;;;;;;;;;;;tas;;;;tas;;tase;tase;tase;;;;;;
3529;tatouer;;;;;;;;;;;;;;;;;;;tatue;;;;;;;;tatu;;;;;;;;;;;;;tatu;;;;tatue;;;;;;
3530;taveler;;;;;;;;;;;;;;;;;;;;;;;;;;;;tav6lâ;;;;;;;;;;;;;;tav6le;;;;;;;;
3531;taxer;;;;;;;;;;;;;;;;;;taksE;takse;;;;;;;;;;;;;;;taks6rE;;taks;;;;;;;;takse;;;;;;
3532;teindre;;;;;;;;;;;;;;;;;;tEJE;têdr;;;;;;;;tê;;;;;;;;;;;tê;;tê;;;;tê;;tEJ;;;;
3533;teinter;;;;;;têta;;;;;;;;;;;têtE;têtE;;;;;;;;;;têtâ;;;;;;;;;;;;;;tête;;tête;;;;;;
3534;tempérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tâpEre;;;tâpEre;;;;;;
3535;tempêter;;;;;;;;;;;;;;;;;;tâpEtE;tâpEte;;;;;;;;;;;;;;;;;;;;;tâpEt;;;;;;;;;;
3536;tenailler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;t6naj;;;;t6naje;;;;;;
3537;tendre;;tâdi;;;tâdir;tâdi;;;;;;;;tâdE;;tâdE;tâdE;tâdE;tâdr;;;;;;;tâde;tâ;tâdâ;;;;;;tâdrE;tâdô;tâ;tâde;tâ;tâd;tâ;tâdy;tâdy;tâdy;tâdy;;;;;;
3538;tenir;;tê;;tê;;tê;tjêdrô;tjêdrE;tjêdre;;tjêdrô;tjêdra;t6njô;t6nE;t6nje;t6nE;t6nE;t6nE;t6nir;;;;;tê;t6nô;t6ne;tjê;t6nâ;;tjêdrE;;tjêdrE;tjêdrE;tjêdrE;t6nô;tjê;t6ne;tjê;tjEn;tjê;t6ny;t6ny;t6ny;t6ny;t6njô;tjEn;;tjEn;;tjEn
