;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
803;décolorer;;;;;;;;;;;;;;;;;;;dEkOlOre;;;;;;;dEkOlOrâ;;;;;;;;;;;;dEkOlOr;;;;;;;;;;
804;décommander;;;;;;;;;;;;;;;;;;;dEkOmâde;;;;;;dEkOmâd;;;;;;;;;dEkOmâd;;;;;;;;;;;;;;
805;décomposer;;;;;;;;;;;;dEkôpOz6ra;;;;;;;;;;;;;;;;;;;;;;dEkôpoz;;;;;;;;;;;;;;
806;déconcerter;;;;;;dEkôsErta;;;;;;;;;;;;dEkôsErtE;;;;;;;;dEkôsErtâ;;;;;;;;;;;;dEkôsErt;;dEkôsErte;;dEkôsErte;;;;;;
807;déconner;;;;;;;;;;;;;;;;;;;dEkOne;;;;;;dEkOn;;;;;;;;;dEkOn;dEkOne;;dEkOn;dEkOn;;;;;;;;dEkOn;;
808;déconseiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkôsEje;;;;;;
809;décontracter;;;;;;;;;;;;;;;;;dEkôtraktE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
810;décorer;;;;;;;;;;;;;;;;;;;dEkOre;;;;;;;dEkOrâ;;;;;;;;;;;dEkOr;;;;dEkOre;dEkOre;;;;;;
811;décortiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOrtik;;;;;;;;;;
812;découdre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkuzy;;;;;;
813;découler;;;;;;;;;;;;;;;;;;dEkulE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
814;découper;;;;;;;;;;;;;;;;;dEkupE;;;;;;;;dEkup;;;;;;;;;;;dEkup;dEkup;;;dEkupe;;;;;;;;
815;décourager;;;;;;;;;;;;;;;;;;;dEkuraZe;;;;;;;;;dEkuraZ6rE;;;;;;dEkuraZ;;;;;;dEkuraZe;;;;;;;;
816;découvrir;;dEkuvri;;;;dEkuvri;;;;;;dEkuvrira;;dEkuvrE;;;dEkuvrE;dEkuvrE;dEkuvrir;;;;dEkuvrô;dEkuvre;dEkuvr;dEkuvrâ;;;;;;dEkuvrirE;dEkuvrô;dEkuvr;;;dEkuvr;dEkuvr;;;;dEkuvEr;;;;;dEkuvr;dEkuvr
817;décrier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkrie;;;;;;;;
818;décrire;;;;;;;;;;;;;;;;;;dEkrivE;dEkrir;;;;;;;dEkrivâ;;;;;;dEkrirE;;dEkri;;dEkri;;dEkri;;;;dEkri;;;;;;
819;décrocher;;;;;;dEkrOSa;;;;;;;;;;;;;dEkrOSe;;;;;dEkrOSe;dEkrOS;;;;;;;;;dEkrOS;;;;dEkrOS;;;;dEkrOSe;;;;;;
820;décroître;;;;;;dEkry;;;;;;;;;;;;dEkrwasE;dEkrwatr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
821;décrypter;;;;;;;;;;;;;;;;;;;dEkripte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
822;décréter;;;;;;;;;;;;;;;;;;;;;;;;;;dEkrEtâ;;;;;;;;;;;;;;;;;;;;;;
823;décéder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsEde;;;;;;
824;dédaigner;;;;;;;;;;;;;;;;;;dEdEJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
825;dédier;;;;;;;;;;;;;;;;;;;dEdje;;;;;;dEdi;;;;;;;;;;;;;dEdi;;;;dEdje;;;;;;
826;dédommager;;;;;;;;dEdOmaZ6rE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
827;déduire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEdHi;;dEdHi;;dEdHi;;;;;;;;;;
828;défaillir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfaj;;;;
829;défaire;;;;;;dEfi;;;;;;;;;;;;dEf6zE;dEfEr;;;;;;;;;;;;;dEf6rE;;;;;;dEfE;;;;;;;;;;
830;défendre;;;;;;;;;dEfâdre;;;;;dEfâdE;dEfâdje;;;dEfâdE;dEfâdr;;;;;;dEfâ;dEfâdâ;;;;;;;dEfâdô;dEfâ;;dEfâ;dEfâd;dEfâ;;dEfâdy;;dEfâdy;;dEfâd;;;;
831;déferler;;;;;;;;;;;;;;;;;;;;;;;;;;dEfErlâ;;;;;;;;;;;;dEfErl;;;;;;;;;;
832;défier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfi;;;;;;;;dEfje;;;;;;
833;défigurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfigyre;;;;;;
834;défiler;;;;;dEfilEr;;;;;;;;;;;;dEfilE;dEfilE;dEfile;;;;;;;;;;;;;;;;;;dEfil;dEfil;;;dEfile;;;;;;;
835;définir;;;;;;dEfini;;;;;;;;;;;;;dEfinir;;;;;;;;;;;;;;;;;;;dEfini;;dEfini;dEfini;dEfini;;;;;;
836;défoncer;;;;;;;;;;;;;;;;;;;dEfôse;;;;;;;;;;;;;;;dEfôs;;;;dEfôs;;;;dEfôse;;;;;;
837;déformer;;;;;;dEfOrma;;;;;;;;;;;;;;;;;;;dEfOrm;;;;;;;;;;;;;dEfOrm;;dEfOrme;dEfOrme;;;;;;;
838;défouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEful;;;;;;;;;;;;;;
839;défraîchir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfrESi;dEfrESi;;;;;;;;
840;déféquer;;;;;;;;;;;;;;;;;;;dEfEke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841;déférer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfEre;;;;;;
842;dégager;;;;;;dEgaZa;;;;;;;;;;;;dEgaZE;dEgaZe;;;;;dEgaZe;dEgaZ;dEgaZâ;;;;dEgaZ6rE;;;dEgaZô;dEgaZ;dEgaZe;dEgaZ;;dEgaZ;;;;;;;;dEgaZ;;dEgaZ
843;dégainer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgEn;;;;;;;;;;
844;dégeler;;;;;;;;;;;;;;;;;;;dEZ6le;;;;;;;;;;;;;;;;;;;dEZEl;;;;;;;;;;
845;déglutir;;;;;;dEglyti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEglyti;;;;;;;;;;
846;dégobiller;;;;;;;;;;;;;;;;;;;dEgObije;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
847;dégommer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgOm;;;;;;;;dEgOme;;;;;;
848;dégonfler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgôfl;;;;;;;;;;;;
849;dégoter;;;;;;;;;;;;;;;;;;;dEgOte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
850;dégouliner;;;;;;;;;;;;;;;;;;;;;;;;;dEgulin;;;;;;;;;;;;;;;;;;;;;;;
851;dégoutter;;;;;;;;;;;;;;;;;dEgutE;dEgutE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
852;dégoûter;;;;;;;;;;;;;;;;;;dEgutE;dEgute;;;;;;dEgut;;;dEgut6rE;;;;dEgut6rE;;dEgut;;dEgut;;dEgut;;dEgute;;dEgute;;;;;;
853;dégrader;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgrad;;;;;;;;;;;;;;
854;dégrafer;;;;;;;;;;;;;;;;;;;;;;;;;dEgraf;;;;;;;;;;;;;dEgraf;;;;;;;;;;
855;déguerpir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgErpis;;;;;;;;;;;
856;dégueuler;;;;;;;;;;;;;;;;;;;dEg6le;;;;;;dEg9l;;;;;;;;;;;;;;;;;;;;;;;
857;déguiser;;;;;;;;;;;;;;;;;;dEgizE;;;;;;;;;;;;;;;;;;dEgiz;;;;;dEgize;dEgize;;;;;;
858;déguster;;;;;;;;;;;;;;;;;;;dEgyste;;;;;;dEgyst;;;;;;;;;;;;;;;;;;;;;;;
859;dégénérer;;;;;;;;;;;;;;;;;;;dEZEnEre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860;déhancher;;;;;;;;;;;;;;;;;;;;;;;;;dEâS;;;;;;;;;dEâS;;;;dEâS;;;;;;;;;;
861;déjanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEZât;;;;;;;;;;;;;;
862;déjeuner;;;;;dEZ6nEr;;;;;;;;dEZ6njô;;;;;dEZ6nE;dEZ6ne;;;;;;dEZ9n;;;;;;;;dEZ6nô;dEZ9n;;dEZ9n;;dEZ9n;;;;;;;;;;dEZ9n
863;déjouer;;;;;;;;;;;;;;;;;;;dEZue;;;;;;;;;;;;;;;;;;;;;dEZue;;;;;;;;
864;délaisser;;;;;;;;;;;;;;;;;;;;;;;;;dElEs;dElEsâ;;;;;;;;;;;;dElEs;;;;dElEse;;;;;;
865;délasser;;;;;;;;;;;;;;;;;;;;;;;;;dElas;;;;;;;;;;;;;;;;;;;;;;;
866;délecter;;;;;;;;;;;;;;;;;;dElEktE;;;;;;;;;;;;;;;;;;;;dElEkt;;;;;;;;;;
867;délibérer;;;;;;;;;;;;;;;;;;;dElibEre;;;;;;;;;;;;;;;dElibEr;;;;;;;;;;;;;;
868;délier;;;;;;;;;;;;;;;;;;;dElje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
869;délirer;;;;;;;;;;;;;;;;;;;;;;;;dElire;dElir;;;;;;;;;dElir;;dElir;;dElir;;;;;;;;;;
870;délivrer;;;;;;;;;;;;;;;;;;;dElivre;;;;;;dElivr;;;;;;;;;dElivr;dElivre;;;dElivr;dElivre;;dElivre;dElivre;;;;;;
871;déléguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dElEge;dElEge;;;;;;
872;démanger;;;;;;;;;;;;;;;;;;dEmâZE;dEmâZe;;;;;;;;;;;;;;;dEmâZ;;;;;;;;;;;;;;
873;démanteler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEmât6le;;;;;;;;;
874;démarrer;;;;;;dEmara;;;;;;;;;;;;dEmarE;dEmare;;;;;;dEmar;;;;;;;;;dEmar;;;dEmar;dEmar;;;;dEmare;;;;;;
875;démasquer;;;;;;;;dEmask6rE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEmaske;;dEmaske;;;;;;
876;démener;;;;;;dEm6na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
877;démentir;;;;;;;;;;;;;;;;;;dEmâtE;;;;;;;;;;;;;;;;;;;;;dEmâti;;;;;;;;;
878;démerder;;;;;;;;;;;;;;;;;;;dEmErde;;;;;;;;;;;;;;;;;dEmErd;;;;;;;;;;;;
879;démissionner;;;;;;;;dEmisjOn6rE;;;;;;;;;;;;;;;;;dEmisjOn;;;;;;;;;dEmisjOn;;;;dEmisjOn;;;;dEmisjOne;;;;;;
880;démoder;;;;;;;;;;;;;;;;;dEmOdE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
881;démolir;;;;;;dEmOli;;;;;;;;;;;;;dEmOlir;;;;;;;;;;;;;;;;;dEmOli;;dEmOli;;;;dEmOli;;;;;;
882;démonter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEmôt;;;;;;;;dEmôte;;;;;;
883;démontrer;;dEmôtrE;;;;;;;;;;;;;;;;;dEmôtre;;;;;;;;;;;;;;;;;;;dEmôtr;;dEmôtre;;;;;;;;
884;démoraliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEmOraliz;dEmOraliz;;;;;;;;;;
885;déménager;;;;;;;;;;;;;;;;;;;dEmEnaZe;;;;;dEmEnaZe;dEmEnaZ;;;;;;;;;dEmEnaZ;;;;dEmEnaZ;;;;dEmEnaZe;;;;;;
886;dénicher;;;;;;;;;;;;;;;;;;;dEniSe;;;;;;dEniS;;;;;;;;;;;;;;;;;;;;;;;
887;dénigrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEnigr;;;;;;dEnigre;;;;;;
888;dénombrer;;;;;;;;;;;;;;;;;;;;;;;;;;dEnôbrâ;;;;;;;;;;;;;;;;;;;;;;
889;dénommer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEnOme;;;;;;;;
890;dénoncer;;;;;;;;dEnôs6rE;;;;;;;;;dEnôsE;dEnôsE;dEnôse;;;;;;dEnôs;;;;;;;;;dEnôs;;;dEnôs;dEnôs;;;;dEnôse;;;;;;
891;dénouer;;;;;;;;;;;;;;;;;;;dEnue;;;;;;;;;;;;;;;dEnu;;;;;;;;dEnue;;;;;;
892;dénoyauter;;;;;;;;;;;;;;;;;;dEnwajOtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
893;dénuder;;;;;;;;;;;;;;;;;;dEnydE;;;;;;;;dEnydâ;;;;;;;;dEnyd;;;;;;;;;;;;;;
894;dénuer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEnye;;;;;;;;
895;départir;;;;;;;;;;;;;;;;;;;dEpartir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
896;dépasser;;;;;;;;;;;;;;dEpasE;;;dEpasE;;dEpase;;;;;dEpase;dEpas;dEpasâ;;;;;;;;dEpas;;dEpas;dEpas;dEpas;;dEpase;;dEpase;;;;;;
897;dépayser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEpEiz;;;;;;;;;;
898;dépecer;;;;;;;;;;;;;;;;;;;;;;;;;dEpEs;;;;;;;;;;;;;;;;;;;;;;;
899;dépeigner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEpEJe;;;;;;;;
900;dépeindre;;;;;;;;;;;;;;;;;;;dEpêdr;;;;;;;;;;;;;;;;;;;;;;dEpê;dEpê;;;;;;
901;dépendre;;;;;;;;;;;;;;;;;;dEpâdE;dEpâdr;;;;;;dEpâ;;;;;;dEpâdrE;;;;;dEpâ;;dEpâ;;;;;;;;;;
902;dépenser;;;;;;;;;;;;;;;;;;;dEpâse;;;;;;dEpâs;;;dEpâs6rE;;;;;;dEpâs;;;dEpâs;dEpâs;dEpâse;;;dEpâse;;;;;;
903;déplacer;;;;;;;;;;;;;;dEplasE;;;;dEplasE;dEplase;;;;;;;dEplasâ;;;;;;;;dEplas;;;;dEplas;;;dEplase;dEplase;;;;;;dEplas
904;déplaire;;;;;;;;;;;;;;;;;;;dEplEr;;;;;;;;;;;;;;;dEplE;;;dEplEz;dEplE;;;;;;;;;;
905;déplier;;;;;;dEplia;;;;;;;;;;;;dEpliE;dEplie;;;;;;;;;;;;;;;;;;;dEpli;;;;;;;;;;
906;déplisser;;;;;;;;;;;;;;;;;;dEplisE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
907;déplorer;;;;;;;;;;;;;;;;;;;;;;;;;dEplOr;;;;;;;;;dEplOr;;;;;;;;;;;;;;
908;déployer;;;;;;dEplwaja;;;;;;;;;;;;dEplwajE;dEplwaje;;;;;;;;;;;;;;dEplwajô;dEplwa;;;;dEplwa;;;;;;;;;;
909;déporter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEpOrt;;;;;;;;;;
910;déposer;;;;;;dEpOza;;;;;dEpOz6rô;;;;;;;;dEpOze;;;;;dEpOze;dEpoz;;;;;;;;;dEpoz;;;;dEpoz;;;;dEpOze;;;;;;
911;déposséder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEpOsEde;dEpOsEde;;;;;;
912;dépouiller;;;;;;;;;;;;;;;;;dEpujE;;dEpuje;;;;;;;;;;;;;;;dEpuj;;;;dEpuj;;;;;;;;;;
913;déprimer;;;;;;;;;;;;;;;;;;;dEprime;;;;;;dEprim;;;;;;;;;dEprim;;dEprim;;;;;;;;;;;;
914;déprogrammer;;;;;;;;;;;;;;;;;;;dEprOgrame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
915;déprécier;;;;;;;;;;;;;;;;;;;dEprEsje;;;;;;;;;;;;;;;;;;;dEprEsi;;;;;;;;;;
916;dépêcher;;;;;;dEpESa;;;;;;;;;;;;;;;;;dEpESô;dEpESe;dEpES;;;;;;;;;dEpES;dEpESe;;;dEpES;;;;;;;;dEpES;;
917;dépêtrer;;;;;;;;;;;;;;;;;;;dEpEtre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
918;déraciner;;;;;;;;;;;;;;;;;;;dErasine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
919;dérailler;;;;;;;;;;;;;;;;;;dErajE;dEraje;;;;;;dEraj;;;;;;;;;;;;;;;;;;;;;;;
920;déraisonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dErEzOn;;;;;;;;;;
921;déranger;;;;;;;;;;;;dErâZ6ra;;dErâZE;;;;;dErâZe;;;;dErâZô;dErâZe;dErâZ;;;dErâZ6rE;;;;dErâZ6rE;;dErâZ;dErâZe;dErâZ;dErâZ;dErâZ;dErâZe;dErâZe;;dErâZe;;;;;;
922;déraper;;;;;;;;;;;;;;;;;dErapE;;;;;;;;dErap;dErapâ;;;;;;;;;;;;dErap;;;;;;;;;;
923;dériver;;;;;;;;;;;;;;;;;dErivE;;;;;;;dErive;dEriv;;;;;;;;;dEriv;;;dEriv;;;;;dErive;;;;;;
924;dérober;;;;;;;dErOb6rô;;;;;;;;;;dErObE;dErObE;dErObe;;;;;;;;;;;;;;;dErOb;dErObe;;dErOb;dErOb;;dErObe;;;;;;;;
925;dérouiller;;;;;;;;;;;;;;;;;;;dEruje;;;;;;;;;;;;;;;dEruj;;;;;;;;dEruje;;;;;;
926;dérouler;;;;;;dErula;;;;;;;;;;;;dErulE;dErule;;;;;;dErul;;;;;;;;;dErul;;;;dErul;;dErule;;dErule;;;;;;
927;dérouter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dErute;;;;;;;;
928;dérégler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dErEgl;;;;;;;;;;
929;désabuser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzabyze;;;;;;
930;désactiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzaktive;;;;;;
931;désagréger;;;;;;;;;;;;;;;;;;;dEzagrEZe;;;;;;dEzagrEZ;;;;;;;;;;;;;dEzagrEZ;;;;;;;;;;
932;désapprouver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzapruv;;;;;;;;;;;;;;
933;désarmer;;;;;;;;;;;;;;;;;;;;;;;;dEzarme;;;;;;;;;;;;;;;;;;;;;;;;
934;désarticuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzartikyle;;;dEzartikyle;;;;;;
935;désarçonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzarsOne;;;;;;;
936;désavouer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzavue;;;;;;;dEzavue;;;;;;
937;désencrasser;;;;;;;;;;;;;;;;;;;dEzâkrase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
938;désengager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzâgaZe;;;;;;;;;;;;;
939;désennuyer;;;;;;;;;;;;dEzânHira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
940;désensibiliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsâsibiliz;;;;;;;;;;;
941;déserter;;;;;;dEzErta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzErt;;;;dEzErte;;;;;;
942;désespérer;;;;;;;;;;;;;;;;;;;dEzEspEre;;;;;;;;;;;;;;;;;;;;;;;dEzEspEre;;;;;;
943;déshabiller;;;;;;dEzabija;;;;;;;;;;;dEzabijE;;dEzabije;;;;;;;dEzabijâ;;;;;;;;dEzabij;;;;dEzabij;;;;;;dEzabij;;;;
944;déshonorer;;;;;;;;;;;;;;;;;;;dEzOnOre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzOnOr
945;déshumaniser;;;;;;;;;;;;;;;;;;;dEzymanize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
946;désigner;;;;;;dEziJa;;;;;;;;;;;;dEziJE;dEziJe;;;;;;dEziJ;dEziJâ;;;;;;;;dEziJ;;;;dEziJ;;;;dEziJe;;;;;;dEziJ
947;désinfecter;;;;;;;;;;;;;;;;;;;;;;;;dEzêfEkte;dEzêfEkt;;;;;;;;;;;;;;;;;;;;;;;
948;désintoxiquer;;;;;;;;;;;;;;;;;;;dEzêtOksike;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949;désintégrer;;;;;;;;;;;;;;;;;;;;;;;;;dEzêtEgr;;;;;;;;;;;;;;;;;;;;;;;
950;désintéresser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzêtErEs;;;;dEzêtErEse;;;;;;
951;désirer;;;;;;;;;;;;;;dEzirE;;dEzirE;;dEzirE;dEzire;;;;;dEzire;dEzir;;;;;;;;;dEzir;dEzire;;dEzir;dEzir;;;;;;;;;;
952;désister;;;;;;;;;;;;;;;;;;;dEziste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
953;désobéir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzObEi;;;;;;;;;;;;;;
954;désoler;;;;;;;;;;;;;;;;;;;;;;;;;dEzOl;;;;;;;;;dEzOl;;;;;;dEzOle;;dEzOle;;;;;;
955;désordonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzOrdOne;;;;;;;
956;désorganiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzOrganize;;;;;;;
957;désorienter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzOrjâte;;;;;;;;
958;déséquilibrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzEkilibre;;;;;;;;
959;détacher;;;;;;;;;;;;;;;;;;dEtaSE;dEtaSe;;;;;dEtaSe;dEtaS;dEtaSâ;;;;;;;;dEtaS;;dEtaS;dEtaS;dEtaS;;dEtaSe;dEtaSe;;;;;;;dEtaS
960;détailler;;;;;;;;;;;;;;;;;;;;;;;;;dEtaj;dEtajâ;;;;;;;;dEtaj;;;;dEtaj;;;;;;;;;;
961;détaler;;;;;;;;;;;;;;;;;;;;;;;;;dEtal;;;;;;;;;;;;;;;;;;;;;;;
962;détecter;;;;;;;;;;;;;;;;;;;dEtEkte;;;;;;;;;;;;;;;dEtEkt;;;dEtEkt;;;;;;;;;;;
963;déteindre;;;;;;;;;;;;;;;;;dEtEJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
964;détendre;;;;;;dEtâdi;;;;;;;;;;;;dEtâdE;dEtâdr;;;;;dEtâde;dEtâ;;;;;;;;;dEtâ;dEtâde;dEtâ;;dEtâ;;dEtâdy;;;;dEtâd;;;;
965;détenir;;;;;;;;;;;;;;;;;;dEt6nE;;;;;;dEt6ne;;;;;;;;;;;;dEtjê;;;;;;;;;;;;
966;déterminer;;;;;;;;;;;;dEtErmin6ra;;;;;;dEtErminE;dEtErmine;;;;;;;;;;;;;;;;dEtErmine;;;;;dEtErmine;;dEtErmine;;;;;;
967;déterrer;;;;;;;;dEtEr6rE;;;;;;;;;;dEtErE;;;;;;;;;;;;;;;;dEtEr;;;;;dEtEre;;;;;;;;;
968;détester;;;;;;dEtEsta;;;;;;;;dEtEstE;;dEtEstE;;dEtEstE;dEtEste;;;;;dEtEste;dEtEst;;;;;;;;dEtEstô;dEtEst;;dEtEst;dEtEst;dEtEst;;;;dEtEste;dEtEstjô;dEtEst;;;;dEtEst
969;détonner;;;;;;;;;;;;;;;;;;dEtOnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
970;détourner;;dEturnE;;;;dEturna;;;;;;;dEturnjô;;;;;dEturnE;dEturne;;;;;;;dEturnâ;;;;;;;;dEturn;;;dEturn;dEturn;;;;dEturne;;;;;;
971;détraquer;;;;;;;;;;;;;;;;;;;;;;;;;dEtrak;dEtrakâ;;;;;;;;;;;;dEtrak;;;;;;;;;;
972;détremper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEtrâp;;;dEtrâpe;;;;;;;
973;détromper;;;;;;;;;;;;;;;;;;;;;;;;dEtrôpe;dEtrôp;;;;;;;;;dEtrôp;;;;;;;;;;;;;;
974;détruire;;;;;;dEtrHizi;;;;;;;;;;;;dEtrHizE;dEtrHir;;;;dEtrHizô;;;dEtrHizâ;;;;;;dEtrHirE;;dEtrHi;;dEtrHi;;dEtrHi;dEtrHit;dEtrHit;dEtrHi;dEtrHi;;;;;;dEtrHiz
975;détrôner;;;;;;;;;;;;;;;;;;;dEtrOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
976;dévaler;;;;;;;;;;;;;;;;;;dEvalE;;;;;;;dEval;dEvalâ;;;;;;;;;;;;;;;;;;;;;;
977;dévaliser;;;;;;;;;;;;;;;;;;;dEvalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
978;développer;;;;;;;;;;;;;;;;;dEv6lOpE;;dEv6lOpe;;;;;dEv6lOpe;dEv6lOp;dEv6lOpâ;;;;;;;;dEv6lOp;;;dEv6lOp;dEv6lOp;;;;dEv6lOpe;;;;;;dEv6lOp
979;déverser;;;;;;;;;;;;;;;;;dEvErsE;;dEvErse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
980;dévier;;;;;;;;;;;;;;;;;;;dEvje;;;;;;;;;;;;;;;;;;;dEvi;;dEvje;;dEvje;;;;;;
981;dévisager;;;;;;dEvizaZa;;;;;;;;;;;;;;;;;;;;dEvizaZâ;;;;;;;;;;;;;;dEvizaZe;;;;;;;;
982;dévoiler;;;;;;;;;;;;;;;;;;dEvwalE;;;;;;;;;;;;;;;;;;;;dEvwal;;;;;;;;;;
983;dévorer;;;;;;;;;;;;;;;;;;dEvOrE;dEvOre;;;;;;dEvOr;dEvOrâ;;;;;;;;dEvOr;;dEvOr;dEvOr;dEvOr;;dEvOre;;dEvOre;;;;;;
984;dévouer;;;;;;dEvua;;;;;;;;;;;;;;;;;;dEvue;;;;;;;;;;;;;;;;;;;;;;;;
985;dévêtir;;;;;;dEvEti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
986;dîner;;;;;;;;;din6re;;;;;;;;;;dine;;;;dinô;dine;din;dinâ;;;;;;;dinô;din;;din;;din;;;;;;;;;;
987;effacer;;;;;EfasEr;Efasa;;;;;;Efas6ra;;;;;EfasE;;Efase;;;;;;Efas;;;;;Efas6rE;;;;Efas;;;;Efas;Efase;Efase;Efase;Efase;;;;;;
