;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
3126;réfléchir;;;;;;rèflèSi;;rèflèSirè;rèflèSire;;;;;rèflèSisè;;rèflèSisè;;rèflèSisè;rèflèSir;;;;;;rèflèSisô;rèflèSise;rèflèSi;rèflèSisâ;;rèflèSirè;;rèflèSirè;;;;rèflèSi;rèflèSise;rèflèSi;rèflèSis;rèflèSi;;;rèflèSis;rèflèSisje;;;rèflèSis
3127;réformer;;;;;;rèfOrma;;;;;;;;;;;;;rèfOrme;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3128;réfrigérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;rèfriZèrâ;;;;;;;;;;;;;;;;;;;
3129;réfréner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rèfrEn;;;;;;;;;;;
3130;réfugier;;rèfyZjè;;;;;;;;;;;rèfyZijô;rèfyZjè;;rèfyZjè;;rèfyZjè;rèfyZje;;;;;;;;rèfyZi;rèfyZjâ;;rèfyZirè;;;;;;rèfyZi;rèfyZje;;rèfyZi;rèfyZi;;;rèfyZi;;;;
3131;réfuter;;;;;;;;;;;;;;;;;;;rèfyte;;;;;;;;;;;;;;;;;rèfyt;;;;;;;;;;;
3132;référer;;;;;;;;rèfèr6rè;rèfèr6re;;;;;;;;;rèfèrè;rèfère;;;;;;;;rèfEr;rèfèrâ;;;;;;;;rèfEr;rèfère;;;rèfEr;;;;;;;
3133;régaler;;;;;règalEr;;;;;règal6ra;;règal6ra;règaljô;;;;;règalè;règale;;;;;;;;règal;;;;;;;règal6rè;;règal;règale;;;règal;;;;;;;
3134;régenter;;;;;;;;;;;;;;;;;;rèZâtè;;;;;;;;;;rèZâtâ;;;;;;;;rèZât;;;;;;;;;;;
3135;régionaliser;;;;;;;;;;;;;;;;;;;rèZjònalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3136;régir;;;;;;rèZi;;;;;;;;;;;rèZisè;rèZisè;rèZir;;;;;;;;rèZi;rèZisâ;;;;;rèZirè;;;;;;rèZis;rèZi;;;;;;;
3137;réglementer;;;;;;;;;;;;;;;;;;;;;;;;;;;;règl6mâtâ;;;;;;;;;;;;;;;;;;;
3138;régler;;règlè;;;règlEr;règla;;;règl6re;;règl6rô;règl6ra;;;;;règlè;règlè;règle;;règlas;;;;règlô;règle;rEgl;règlâ;;;;;;;règlô;rEgl;règle;;rEgl;rEgl;;;;;rEgl;;rEgl
3139;régner;;;;;;rèJa;;;;;rèJ6rô;rèJ6ra;;;;rèJè;rèJè;rèJè;rèJe;;;;;;;rèJe;rEJ;rèJâ;;;;;;;;rEJ;rèJe;rEJ;rEJ;rEJ;;;;;;;
3140;régresser;;;;;;;;;;;;;;;;;;;règrèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3141;régulariser;;;;;;règylariza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3142;réguler;;;;;;;;;;;;;;;;;;;règyle;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3143;régurgiter;;;;;;;;;;;;;;;;;;;règyrZite;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3144;régénérer;;;;;;;;;;;;;;;;;;;rèZènère;;;;;;;;;rèZènèrâ;;;;;;;;;;;;rèZènEr;;;;;;;
3145;réhabiliter;;;;;;;;;;;;;;;;;;rèabilitè;rèabilite;;;;;;;;;;;;;;;;;;;;;rèabilit;;;;;;;
3146;réhabituer;;;;;;;;;;;;;;rèabityè;;;;;rèabitye;;;;;;;;;;;;;;;;;rèabity;;;;;;;;;;;
3147;réhydrater;;;;;;;;;;;;;;;;;;;rèidrate;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3148;réincarner;;;;;;;;;;;;;;;;;;;rèêkarne;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3149;réinscrire;;;;;;;;;;;;;;;;;;;rèêskrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3150;réinstaller;;;;;;rèêstala;;;;;;;;;;;;;rèêstale;;;;;;;;;rèêstalâ;;;;;;;rèêstalô;rèêstal;;;;;;;;;;;
3151;réintroduire;;;;;;;;;;;;;;;;;;;rèêtròdHir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3152;réintégrer;;;;;;;;;;;;;;;;;rèêtègrè;rèêtègrè;rèêtègre;;;;;;;;;;;;;;;;;;;;;rèêtEgr;;;;;;;
3153;réinventer;;;;;;rèêvâta;;;;;;;;;;;;;rèêvâte;;;;;;;;rèêvât;;;;;;;;;;;;;rèêvât;;;;;;;
3154;réinvestir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rèêvEstis;rèêvEsti;;;;;;;
3155;réitérer;;;;;;;;;;;;;;;;;;;rèitère;;;;;;;;;;;;;;;;;rèitEr;;;;rèitEr;;;;;;;
3156;réjouir;;;;;;rèZui;;;rèZuire;;rèZuirô;rèZuira;;rèZuisè;;rèZuisè;;rèZuisè;rèZuir;;;;;;;rèZuise;rèZui;rèZuisâ;;;;;;;rèZuisô;rèZui;rèZuise;rèZui;rèZuis;rèZui;;;rèZuis;;;;rèZuis
3157;rénover;;;;;;;;;;;;;;;;;;;rènòve;;;;;;;;;rènòvâ;;;;;;;;rènOv;;;;;;;;;;;
3158;réopérer;;;;;;;;;;;;;;;;;;;rèòpère;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3159;réorganiser;;;;;;rèOrganiza;;;;;;;;;;;;rèOrganizè;rèOrganize;;;;;;;;;;;;;;;;;;;;;rèOrganiz;;;;;;;
3160;répandre;;;;;rèpâdir;rèpâdi;;rèpâdrè;;;;rèpâdra;;;;;rèpâdè;rèpâdè;rèpâdr;;;;;;;;rèpâ;rèpâdâ;;;;;;rèpâdrè;rèpâdô;rèpâ;rèpâde;rèpâ;rèpâd;rèpâ;;;;;;;
3161;réparer;;;;;;rèpara;rèpar6rô;rèpar6rè;;;;;rèparjô;rèparè;rèparje;rèparè;;rèparè;rèpare;;;;;;;rèpare;rèpar;;;;;;;;;rèpar;rèpare;;rèpar;rèpar;;;;;;rèpar;
3162;répartir;;;;;;;;;;;;;;;;;;rèpartisè;rèpartir;;;;;;;;rèparti;;;;;;;;;rèparti;;rèparti;rèpartis;rèparti;;;;;;;
3163;répercuter;;;;;;rèpErkyta;;;;;;;;;;;rèpErkytè;rèpErkytè;rèpErkyte;;;;;;;;;rèpErkytâ;;;;;;;;;;;rèpErkyt;rèpErkyt;;;;;;;
3164;répertorier;;;;;;;;;;;;;;;;;;;rèpErtòrje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3165;répliquer;;;;;;rèplika;;;;;;;;rèplikè;;;;rèplikè;rèplike;;;;;;;;rèplik;rèplikâ;;;;;;;;rèplik;;;;rèplik;;;;;;;
3166;répondre;rèpôdim;rèpôdi;;;rèpôdir;rèpôdi;;rèpôdrè;;rèpôdra;;rèpôdra;;rèpôdè;rèpôdje;rèpôdè;rèpôdè;rèpôdè;rèpôdr;;;;;rèpôdi;rèpôdô;rèpôde;rèpô;rèpôdâ;;rèpôdrè;rèpôdrie;rèpôdrè;;rèpôdrè;rèpôdô;rèpô;rèpôde;rèpô;rèpôd;rèpô;;rèpôdjô;rèpôd;;;;rèpôd
3167;réprimander;;;;;;;;;;;;;;;;;;;rèprimâde;;;;;;;;;;;;;;;;;rèprimâd;;;;;;;;;;;
3168;réprimer;;;;;rèprimEr;rèprima;;;;;;;;;;;;;rèprime;;;;;;;;rèprim;rèprimâ;;;;;;;;rèprim;;;;rèprim;;;;;;;
3169;réprouver;;;;;;;;;;;;;;;;;;rèpruvè;rèpruve;;;;;;;rèpruve;;;;;;;;;;rèpruv;;;;rèpruv;;;;;;;
3170;répudier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rèpydi;;;;rèpydi;;;;;;;
3171;répugner;;;;;;;;;;;;;;rèpyJè;rèpyJe;;rèpyJè;rèpyJè;;;;;;;;;;rèpyJâ;;;;;;;;rèpyJ;;;rèpyJ;rèpyJ;;;;;;;
3172;réputer;;;;;;;;;;;;;;;;;;;rèpyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3173;répéter;;rèpètè;;;;rèpèta;;rèpèt6rè;;;;rèpèt6ra;rèpètjô;rèpètè;rèpètje;rèpètè;rèpètè;rèpètè;rèpète;;;;;;rèpètô;rèpète;rèpEt;rèpètâ;;;;rèpèt6rè;rèpèt6rè;;rèpètô;rèpEt;rèpète;rèpEt;rèpEt;rèpEt;;;;;rèpEt;;rèpEt
3174;réquisitionner;;;;;;;;;;;;;;;;;;;rèkizisjòne;;;;;;;;rèkizisjòn;rèkizisjònâ;;;;;;;;;;;;;;;;;;;
3175;réserver;;;;;;rèzErva;;;;;;rèzErv6ra;;rèzErvè;;rèzErvè;rèzErvè;rèzErvè;rèzErve;;;;;;rèzErvô;rèzErve;rèzErv;rèzErvâ;;;;;;;;rèzErv;rèzErve;;rèzErv;rèzErv;;;;;;;
3176;résider;;;;;;;;;;;;;;;;;rèzidè;rèzidè;rèzide;;;;;;;;rèzid;rèzidâ;;;;;;;;rèzid;;;;rèzid;;;;;;;
3177;résigner;;rèziJè;;;;rèziJa;;;;;;;;rèziJè;;;rèziJè;rèziJè;rèziJe;;;;;;;;rèziJ;;;;;;;;;rèziJ;;;rèziJ;rèziJ;;;;;;;
3178;résister;;;;;rèzistEr;rèzista;;;;;;rèzist6ra;rèzistjô;rèzistè;;;rèzistè;rèzistè;rèziste;;;;;;;;rèzist;rèzistâ;;rèzist6rè;;rèzist6rè;;;rèzistô;rèzist;rèziste;rèzist;rèzist;rèzist;;;;;rèzist;rèzist;
3179;résonner;;;;;rèzònEr;rèzòna;;;;;;;;;;;rèzònè;rèzònè;rèzòne;;;;;;;;rèzòn;rèzònâ;;;;;rèzòn6rè;;;rèzòn;;;rèzòn;rèzòn;;;;;;;
3180;résorber;;;;;;;;;;;;;;;;;;;rèzOrbe;;;;;;;;;;;;;;;;;;;;;rèzOrb;;;;;;;
3181;résoudre;;rèzòly;;rèzòly;;rèzòly;;;;;;rèzudra;;;;;rèzOlvè;;rèzudr;;;;;;;rèzOlve;rèzu;;;;;;;rèzudrè;;rèzu;rèzOlve;rèzu;rèzOlv;rèzu;;;rèzOlv;;;;rèzOlv
3182;résulter;;;;;;;;;;;;;;;;;rèzyltè;rèzyltè;rèzylte;;;;;;;;;rèzyltâ;;;;;;rèzylt6rè;;;;;;rèzylt;;;;;;;
3183;résumer;;;;;;rèzyma;;;;;;rèzym6ra;;;;;;rèzymè;rèzyme;;;;;;rèzymô;;rèzym;rèzymâ;;;;;;;rèzymô;rèzym;;;rèzym;rèzym;;;;;;;
3184;réséquer;;;;;;;;;;;;;;;;;;;rèsèke;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3185;rétablir;;;;;;rètabli;;;;rètablira;;rètablira;;;;;;rètablisè;rètablir;;;;;;rètablisô;rètablise;rètabli;;;;;;;;rètablisô;rètabli;;;rètablis;rètabli;;;;;;;rètablis
3186;rétamer;;;;;;;;;;;;;;;;;;;rètame;;;;;;;;;;;;;;;;;rètam;;;;;;;;;;;
3187;rétorquer;;rètOrkè;;;;rètOrka;;;;;;;;rètOrkè;;;;;;;;;;;;;rètOrk;rètOrkâ;;;;;;;;rètOrk;;;;rètOrk;;;;;;;
3188;rétracter;;;;;;;;;;;;;;;;;;;rètrakte;;;;;;;;rètrakt;;;;;;;;;rètrakt;;;;rètrakt;;;;;;;
3189;rétrocéder;;;;;;;;;;;;;;;;;;;rètròsède;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3190;rétrograder;;;;;;;;;;;;;;;;;;;rètrògrade;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3191;rétrécir;;;;;;rètrèsi;;;;;;;;;;;;rètrèsisè;rètrèsir;;;;;;;;;rètrèsisâ;;;;;;;;;;;rètrèsis;rètrèsi;;;;;;;
3192;réunir;;;;;;rèyni;;;;;rèynirô;rèynira;rèynisjô;;;;rèynisè;rèynisè;rèynir;;;;;;;rèynise;rèyni;rèynisâ;;rèynirè;;;rèynirè;;;rèyni;rèynise;rèyni;rèynis;rèyni;;;rèynis;;;;rèynis
3193;réussir;;;;;rèysir;rèysi;rèysirô;rèysirè;rèysire;rèysira;rèysirô;rèysira;rèysisjô;rèysisè;rèysisje;;rèysisè;rèysisè;rèysir;;;;;;rèysisô;rèysise;;rèysisâ;;rèysirè;;rèysirè;;rèysirè;rèysisô;rèysi;rèysise;rèysi;rèysis;rèysi;;;rèysis;;;;rèysis
3194;réveiller;;rèvèjè;;;rèvèjEr;rèvèja;;rèvèj6rè;rèvèj6re;rèvèj6ra;rèvèj6rô;rèvèj6ra;;rèvèjè;;rèvèjè;rèvèjè;rèvèjè;rèvèje;;;;;;;rèvèje;rèvEj;rèvèjâ;;rèvèj6rè;;rèvèj6rè;rèvèj6rè;rèvèj6rè;rèvèjô;rèvEj;rèvèje;rèvEj;rèvEj;rèvEj;;;rèvEj;;rèvEj;;rèvEj
3195;réveillonner;rèvèjònam;;;;;;;;;;;;;;;;rèvèjònè;;rèvèjòne;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3196;réverbérer;;;;;;;;;;;;;;;;;rèvErbèrè;;;;;;;;;;;rèvErbèrâ;;;;;;;;;;;;;;;;;;;
3197;réviser;;;;;;;;;;;;;;;;rèvizè;rèvizè;rèvizè;rèvize;;;;;;;;rèviz;;;;;;;;;rèviz;;;;rèviz;;;;;;;
3198;révolter;;;;;;rèvOlta;;;;;rèvOlt6rô;;;;;;rèvOltè;rèvOltè;rèvOlte;;;;;;rèvOltô;;rèvOlt;rèvOltâ;;;;;;;;rèvOlt;;;rèvOlt;rèvOlt;;;;;;;
3199;révolutionner;;;;;;rèvòlysjòna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3200;révoquer;;;;;;;;;;;;;;;;;;;;;;;;;;;rèvOk;;;;;;;;;rèvOk;;;;rèvOk;;;;;;;
3201;révulser;;;;;;;;;;;;;;;;;rèvylsè;rèvylsè;;;;;;;;;rèvyls;;;;;;;;;;;;;rèvyls;;;;;;;
3202;révéler;;;;;rèvèlEr;rèvèla;rèvèl6rô;;rèvèl6re;;rèvèl6rô;rèvèl6ra;;rèvèlè;;;rèvèlè;rèvèlè;rèvèle;;;;;rèvèla;;rèvèle;rèvEl;rèvèlâ;;;;;rèvèl6rè;rèvèl6rè;;rèvEl;rèvèle;;rèvEl;rèvEl;;;;;;;
3203;révérer;;;;;;;;;;;;;;;;;;;;;;;;;;;rèvEr;;;;;;;;;rèvEr;;;rèvEr;;;;;;;;
3204;réécouter;;;;;;;;;;;;;;;;;;rèèkutè;rèèkute;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3205;réécrire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rèèkri;;rèèkri;;;;;;;
3206;rééditer;;;;;;;;;;;;;;;;;;;rèèdite;;;;;;;;;rèèditâ;;;;;;;;;;;;;;;;;;;
3207;rééduquer;;;;;;;;;;;;;;;;;;;rèèdyke;;;;;;;;;;;;;;;;;;;;;rèèdyk;;;;;;;
3208;rééquilibrer;;;;;;;;;;;;;;;;;;;rèèkilibre;;;;;;;;;;;;;;;;;;;;;rèèkilibr;;;;;;;
3209;réévaluer;;;;;;;;;;;;;;;;;;;rèèvalye;;;;;;;;;;;;;;;;;rèèvaly;;;;rèèvaly;;;;;;;
3210;rêvasser;;;;;;;;;;;;;;rèvasè;;;;rèvasè;rèvase;;;;;;;;rèvas;;;;;;;;;rèvas;;;;rèvas;;;;;;;
3211;rêver;;rèvè;;;;rèva;;rèv6rè;;;rèv6rô;;rèvjô;rèvè;rèvje;rèvè;rèvè;rèvè;rève;;;;;;rèvô;rève;rEv;rèvâ;;;;;;;rèvô;rEv;rève;rEv;rEv;rEv;;;;;rEv;;
3212;rôder;;ròdè;;;;;;ròd6rè;;;;;;ròdè;;;ròdè;ròdè;ròde;;;;;;;;rod;ròdâ;;;;;;;;rod;;rod;rod;rod;;;;;;;
3213;rôtir;;;;;;;;;;;;;;;;;;ròtisè;ròtir;;;;;;;;;;;;;;;;;ròti;;ròti;;;;;;;;;
3214;sabler;;;;;;;;;;;;;;;;;;;sable;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3215;saborder;;;;;;;;;;;;;;;;;;;sabOrde;;;;;;;;;;;;;;;;;sabOrd;;;;;;;;;;;
3216;saboter;;;;;;;;;;;;;;;;;;sabòtè;sabòte;;;;;;;;;;;;;;;sabòt6rè;;;;;sabOt;sabOt;;;;;;;
3217;sabrer;;;;;;;sabr6rô;;;;;;;;;;;sabrè;;;;;;;;;sabr;sabrâ;;;;;;;;;;;;sabr;;;;;;;
3218;saccager;;;;;sakaZEr;;;;;;;;;;;;sakaZè;;sakaZe;;;;;;sakaZô;;;;;;;;;;;;;;sakaZ;;;;;;;;
3219;sacrer;;;;;;;;;;;;;;;;;;;sakre;;;;;;;;;;;;;;;;;;;;;sakr;;;;;;;
3220;sacrifier;;;;;;sakrifja;;sakrifirè;;;;sakrifira;;;;;;sakrifjè;sakrifje;;;;;;sakrifjô;sakrifje;sakrifi;sakrifjâ;;sakrifirè;;sakrifirè;;sakrifirè;;sakrifi;;sakrifi;sakrifi;sakrifi;;;;;;;
3221;saigner;;;;;;sèJa;;sèJ6rè;;;;sèJ6ra;;sèJè;;sèJè;sèJè;sèJè;sèJe;;;;;;;sèJe;sEJ;sèJâ;;;;sèJ6rè;;sèJ6rè;;sEJ;sèJe;sEJ;sEJ;sEJ;;;;;;;
3222;saillir;;;;;;;;;;;;;;;;;;;sajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3223;saisir;;;;;sèzir;sèzi;sèzirô;;;;;sèzira;;;;sèzisè;sèzisè;sèzisè;sèzir;;;;;sèzi;sèzisô;sèzise;sèzi;sèzisâ;;;;;;;sèzisô;sèzi;sèzise;sèzi;sèzis;sèzi;;;sèzis;;;;sèzis
3224;saler;;;;sala;;sala;;;;;;;;;;;;;sale;;;;;;;sale;sal;;;;;;;;;sal;sale;;;sal;;;;;;;sal
3225;salir;;;;;;sali;;salirè;;;;;;;;;;salisè;salir;;;;;;;;sali;salisâ;;;;;;salirè;;sali;salise;sali;salis;;;;salis;;;;salis
3226;saliver;;;;;;saliva;;;;;;;;;;;;salivè;salive;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3227;saloper;;;;;;;;;;;;;;;;;;;salòpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3228;saluer;;salyè;;;salyEr;salya;;salyrè;;;;;;;;;salyè;salyè;salye;;;;;;salyô;salye;saly;salyâ;;;;;;;salyô;saly;salye;saly;saly;saly;;;;;;;
3229;sanctifier;;;;;;;;;;;;;;;;;;;sâktifje;;;;;;;;sâktifi;;;;;;;;;sâktifi;;;;sâktifi;;;;;;;
3230;sanctionner;;;;;;;;;;;;;;;;;;;sâksjòne;;;;;;;;;;;;;;;;;;;;;sâksjòn;;;;;;;
3231;sangler;;;;;;;;;;;;;;;;;;;;;;;;;;;;sâglâ;;;;;;;;;;;;;;;;;;;
3232;sangloter;;;;;;;;;;;;;;sâglòtè;;;sâglòtè;sâglòtè;sâglòte;;;;;;;;;sâglòtâ;;;;;;;;sâglOt;;;sâglOt;sâglOt;;;;;;;
3233;saouler;;;;;;;;;;sul6ra;;;;sulè;;;sulè;sulè;sule;;;;;;;sule;sul;;;;;;;;;sul;;;;sul;;;;;;;sul
3234;saper;;;;;;;;;;;;;;;;;;;sape;;;;;;;;sap;;;;;;;;;sap;;;sap;sap;;;;;;;
3235;saquer;;;;;;;;;;;;;;;;;;;sake;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3236;sarcler;;;;;;;;;;;;;;;;;;;sarkle;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3237;satiner;;;;;;;;;;;;;;;;;;satinè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3238;satisfaire;;;;;satisfir;;;;;;;satisf6ra;;;;satisf6zè;;satisf6zè;satisfEr;;;;;;;;satisfè;satisf6zâ;;;;;;;;satisfè;satisfEt;;satisfô;satisfè;;;;;;;
3239;saturer;;;;;;;;;;;;;;;;;;satyrè;satyre;;;;;;;;satyr;;;;;;;;;satyr;;;;satyr;;;;;;;
3240;saucer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sos;;;sos;sos;;;;;;;
3241;saucissonner;;;;;;;;;;;;;;;;;;;sòsisòne;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3242;saupoudrer;;;;;;;;;;;;;;;;;;;;;;;;;;;sòpudr;sòpudrâ;;;;;;;;;;;;sòpudr;;;;;;;
3243;saurer;;;;;;;;;;;;;;sòrè;sòrje;sòrè;;;;;;;;;sòrô;;;;;;;;;;sòrô;;sòre;;;;;;;sòrje;;;
3244;sauter;;sòtè;;;sòtEr;sòta;;sòt6rè;;sòt6ra;sòt6rô;sòt6ra;;sòtè;sòtje;sòtè;sòtè;sòtè;sòte;;;;;;;sòte;sot;sòtâ;;;;;;sòt6rè;sòtô;sot;sòte;sot;sot;sot;;;;;;;sot
3245;sautiller;;;;;;sòtija;;;;;;;;;;;;sòtijè;sòtije;;;;;;;;sòtij;sòtijâ;;;;;;;;sòtij;;;sòtij;sòtij;;;;;;;
3246;sauvegarder;;;;;;;;;;;;;;;;;;;sòv6garde;;;;;;;;sòv6gard;;;;;;;;;;;;;sòv6gard;;;;;;;
3247;sauver;;;;;sòvEr;sòva;sòv6rô;sòv6rè;sòv6re;sòv6ra;sòv6rô;sòv6ra;;sòvè;;sòvè;sòvè;sòvè;sòve;;;;;;sòvô;sòve;sov;sòvâ;;sòv6rè;;sòv6rè;;sòv6rè;sòvô;sov;sòve;sov;;sov;;;;;;;
3248;savoir;sym;sy;;sy;syr;sy;sòrô;sòrè;sòre;sòra;sòrô;sòra;savjô;savè;savje;savè;savè;savè;savwar;;sys;;;sy;;saSe;saS;saSâ;sòrjô;sòrè;sòrje;sòrè;sòrè;sòrè;savô;sè;save;sè;sav;sè;;saSjô;saS;saSje;saS;saS;saS
3249;savonner;;savònè;;;;;;;;;;;;;;;;savònè;savòne;;;;;;;;;;;;;;;;;savòn;;;;savòn;;;;;;;
3250;savourer;;savurè;;;;savura;;;;;;;savurjô;savurè;;;savurè;savurè;savure;;;;;;;savure;savur;savurâ;;;;;;savur6rè;;savur;;;;savur;;;;;;;
3251;scalper;;;;;;;;;;;;;;;;;;;skalpe;;;;;;;;skalp;;;;;;;;;skalp;;;skalp;;;;;;;;
3252;scandaliser;;;;;;;;;;;;;;;;;;skâdalizè;skâdalize;;;;;;;;skâdaliz;;;;;;;;;skâdaliz;;;;skâdaliz;;;;;;;
3253;scander;;;;;;;;;;;;;;;;;;;skâde;;;;;;;;;;;;;;;;;;;;skâd;;;;;;;;
3254;sceller;;;;;;;;;;;;sèl6ra;;;;;sèlè;;sèle;;;;;;sèlô;;sEl;sèlâ;;;;;;;;;;;;;;;;;;;
3255;schlinguer;;;;;;;;;;;;;;;;;;Slêgè;;;;;;;;;Slêg;;;;;;;;;;;;;Slêg;;;;;;;
3256;scier;;;;;;;;;;;;;;;;;sjè;sjè;sje;;;;;;;;si;sjâ;;;;;;;;si;sje;si;si;si;;;;;;;
3257;scinder;;;;;;;;;;;;;;;;;;sêdè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3258;scintiller;;;;;;;;;;;sêtij6rô;;;;;;sêtijè;sêtijè;sêtije;;;;;;;;sêtij;sêtijâ;;;;;;;;;;;sêtij;sêtij;;;;;;;
3259;scotcher;;;;;;;;;;;;;;;;;;;skòtSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3260;scribouiller;;;;;;;;;;;;;;;;;;;skribuje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3261;scruter;;;;;;skryta;;;;;;;;;;;skrytè;skrytè;skryte;;;;;;;skryte;skryt;skrytâ;;;;;;;;skryt;;;skryt;skryt;;;;;;;
3262;sculpter;;;;;;;;;;;;skylt6ra;;skyltè;;;;skyltè;skylte;;;;;;;skylte;skylt;skyltâ;;;;;;;;skylt;;skylt;;skylt;;;;;;;
3263;seconder;;;;;;;;;;;;;;;;;;s6gôdè;s6gôde;;;;;;;;s6gôd;;;;;;;;;s6gôd;;;;s6gôd;;;;;;;s6gôd
3264;secouer;s6kuam;s6kuè;;;s6kuEr;s6kua;;s6kurè;;;;;;;;s6kuè;s6kuè;s6kuè;s6kue;;;;;;s6kuô;s6kue;s6ku;s6kuâ;;;;;;s6kurè;;s6ku;;s6ku;s6ku;s6ku;;;;;;;
3265;secourir;;;;;;s6kury;;;;;;;;;;;;;s6kurir;;;;;;;;s6kur;;;;;;;;;s6kur;;;;;;;;;;;
3266;sectionner;;;;;;;;;;;;;;;;;;;;;;;;;;;sEksjòn;;;;;;;;;;;;sEksjòn;sEksjòn;;;;;;;
3267;sembler;;;;;sâblEr;sâbla;;;;;sâbl6rô;sâbl6ra;;sâblè;sâblje;sâblè;sâblè;sâblè;sâble;;;;;;sâblô;sâble;sâbl;sâblâ;;;;;sâbl6rè;sâbl6rè;sâblô;sâbl;sâble;sâbl;sâbl;sâbl;;;;;;sâbl;sâbl
3268;semer;;;;;;s6ma;;;;;;sèm6ra;;;;;;s6mè;s6me;;;;;;;;sEm;s6mâ;;;;;;sèm6rè;;sEm;;sEm;sEm;sEm;;;;;;;
3269;semoncer;;;;;;s6môsa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3270;sentir;;sâti;;;sâtir;sâti;;sâtirè;sâtire;sâtira;sâtirô;sâtira;sâtjô;sâtè;sâtje;sâtè;sâtè;sâtè;sâtir;;;;;sâti;sâtô;sâte;sâ;sâtâ;;sâtirè;;sâtirè;;sâtirè;sâtô;sâ;sâte;sâ;sât;sâ;;sâtjô;sât;sâtje;sât;sât;sât
3271;seoir;;;;;;;;;;;;;;;;;;sèjè;;;;;;;;;;;;;;;;sjèrè;;;;;;sje;;;;;;;
3272;seriner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s6rin;;;;;;;
3273;sermonner;;;;;;;;;;;;;;;;;;sErmònè;sErmòne;;;;;;;sErmòne;sErmòn;sErmònâ;;;;;;;;sErmòn;sErmòne;;;sErmòn;;;;;;;
3274;serpenter;;;;;;;;;;;;;;;;;sErpâtè;sErpâtè;sErpâte;;;;;;;;;sErpâtâ;;;;;;;;sErpât;;;sErpât;sErpât;;;;;;;
3275;serrer;;sèrè;;;sèrEr;sèra;;sèr6rè;sèr6re;;sèr6rô;sèr6ra;sèrjô;sèrè;;sèrè;sèrè;sèrè;sère;;;;;;sèrô;sère;sEr;sèrâ;;sèr6rè;;;sèr6rè;sèr6rè;sèrô;sEr;sère;sEr;sEr;sEr;;;sEr;;;sEr;sEr
3276;sertir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sErtirè;;;;;;;;;;;;;
3277;servir;;sErvi;;;sErvir;sErvi;;sErvirè;sErvire;sErvira;sErvirô;sErvira;sErvjô;sErvè;sErvje;sErvè;sErvè;sErvè;sErvir;;;;;;sErvô;sErve;sEr;sErvâ;;sErvirè;;sErvirè;sErvirè;sErvirè;sErvô;sEr;sErve;sEr;sErv;sEr;;;sErv;;;;sErv
